cra_no,unnamed: 0,block group,county,household_family,household_female_family,household_male_family,household_married_family,household_nonfamily,household_total,population_25andover,population_65andover,population_asian,population_black,population_edu_advanced,population_edu_associate,population_edu_bachelor,population_edu_highschool,population_edu_nodiploma,population_edu_somecollege,population_female,population_hispanic,population_male,population_race_other,population_total,population_under18,population_white,state,tract,household_family_margin,household_female_family_margin,household_male_family_margin,household_married_family_margin,household_nonfamily_margin,household_total_margin,population_25andover_margin,population_65andover_margin,population_asian_margin,population_black_margin,population_edu_advanced_margin,population_edu_associate_margin,population_edu_bachelor_margin,population_edu_highschool_margin,population_edu_nodiploma_margin,population_edu_somecollege_margin,population_female_margin,population_hispanic_margin,population_male_margin,population_race_other_margin,population_total_margin,population_under18_margin,population_white_margin
1.1,475.1030308492642,1.804440875017364,32.999999999999964,337.78839337892924,52.48736820834525,14.288260195160138,271.0127649754239,195.25014093368688,533.0385343126161,947.3285425447505,182.9906886174948,56.95748911854153,31.173520655539654,179.72320853478317,90.81124128421291,329.1523404177145,143.85360290799858,27.616817665678862,176.17133173436247,641.5982316410186,65.42766743553494,639.9352388180164,157.7371888121039,1281.533470459035,276.3638528916375,1035.6652718728499,52.99999999999994,12043.286332474898,28.15173112580027,17.43642806042732,8.573305969662751,26.49532795390933,31.24406911902257,30.855235154616736,58.34778347767645,31.204089974554545,22.105974697969437,36.87322510095848,35.186034420898714,23.291817743367876,44.32316636932468,30.55240945679374,23.465142009600786,32.08591627138414,53.46396768540839,31.346260289263217,57.68845824301645,134.617856502943,91.58325645688858,43.52374620152406,88.80408537621177
1.2,433.53823439899486,3.5255724956875927,32.99999999999998,332.60729253147724,49.32932885675077,12.876759105515129,270.40120456921136,228.1694123732625,560.7767049047399,990.6362256903067,191.0572498376126,62.95344809415453,16.371273159001845,202.52228361631015,67.66510346540831,364.5019459583857,123.21004494147604,28.929378755877106,203.80746895284946,678.9967127337407,63.18188124007937,589.6851849063744,104.32031636476266,1268.6818976401153,234.98042131423972,1085.036860022196,52.99999999999997,11153.46089155973,27.720673456154497,15.403937265706466,6.681845125121909,27.253951524999152,29.508841442530606,31.468176697228067,63.94519495455713,32.16841710248331,22.447170045644864,8.046948373312725,31.899753197245094,18.27518773625907,41.27893667440364,25.580100300086947,20.136877055300815,34.89252263803834,53.83591551706052,22.524295425579357,51.20970033944872,123.56894261221942,89.48210788454759,36.38948400162893,81.81446770381939
1.3,371.73670053056964,2.819527317555854,32.99999999999999,331.9552965025273,44.056507559921386,20.422476664204936,267.4763122784009,239.947275369603,571.9025718721302,976.0906591986983,178.5122020459561,65.18124361501256,11.350481929141605,224.46255905962911,84.47900636998278,369.7338950677967,122.50194386057476,23.228439002768866,151.68481583794616,705.9182917392421,70.3089659907045,608.7383073889808,88.434838545473,1314.656599128223,287.1291713245178,1149.690035038596,52.99999999999998,9929.960757221392,27.269073210628342,14.503048182196245,9.640596582914847,27.704763855962682,25.825042774132182,28.864058436048406,54.4954698258716,29.11261916034273,18.392652215699176,7.060941531034503,38.75516473475485,19.115916180815002,41.66853952042519,23.2460067979768,16.253458874772086,25.46352310885365,57.71111880827937,39.98812067664568,52.04591156894745,126.88713326056344,91.15372904826515,41.252109327431135,86.04182539234684
1.4,354.09011917174524,2.988809223837243,32.99999999999998,338.57783039360464,28.146663687631587,14.123700292524676,296.30746641344837,354.72581370066456,693.3036440942692,1117.5950446648367,230.53630879973826,71.8410291738556,28.311418548216896,256.95637653141,91.0303665040609,461.69607093206514,89.72553958806556,38.320017150139186,179.866673959096,706.2335183334775,54.06489512348506,675.3253176085789,84.61544096959307,1381.5588359420562,221.01704540752766,1196.790947250391,52.99999999999996,9662.646460947739,43.24083154729128,12.989444033219865,9.47853865748749,41.96956695632795,48.551835988616254,50.957461879359954,97.63497882227043,44.45161448372613,25.97904937358383,23.185797479503,56.48421399051067,27.808308510578108,65.50261664311408,28.581690720642452,28.851994762783285,36.766973735146,73.64739800588576,24.543413676351477,90.33216836618689,201.75109671239258,144.15462556917072,58.570285849266696,136.7861715984103
2.1,370.11132481973107,3.111324819731016,33.00000000000001,246.8587072492727,29.187141892948258,58.220281642878646,159.45128371344578,326.57841576834056,573.4371230176132,909.672950310204,81.68905802544933,120.06483048423813,47.21488596628369,180.269416237364,54.30508947671474,404.406156028477,97.43814724286648,28.727366185313887,144.5267751394678,535.6196120451332,94.35262862873557,580.2602317662357,91.23366825931282,1115.879843811369,157.2809206587683,857.3664591015342,53.00000000000001,9900.000000000002,61.21232548357059,25.84121340052811,48.08460686449718,43.239820861256135,70.20489230698189,76.99913759822037,138.05429071348755,40.99927002214784,55.201207239698384,30.12984991849475,55.402937539079645,32.90790581665698,91.33144192327968,64.62892524227466,33.896455357654844,67.11501818309358,88.53084402253809,54.65437888770017,126.44690160118188,245.110476510117,183.4569637637399,63.50896260900942,149.8923180312296
2.2,412.4150754683724,1.6902764313247092,33.0,381.71195445458204,129.56149257608288,37.96757225621213,214.182889622287,234.80529032362804,616.51724477821,1002.9972418327635,93.64469622472596,204.24897257255762,561.0469729158062,108.22827791100578,143.0589854675838,232.42034016429565,153.18327519748402,146.80228167746657,219.3040814149276,842.0701085872523,110.98664228362567,820.3840010065541,136.25588857398637,1662.4541095938064,445.88179598027693,760.902275531456,53.0,10701.362399518524,52.91026533656278,37.07218838972312,30.791570195992254,37.12816096544249,39.956215019216025,54.386869456551025,100.95640976784289,28.579127739310223,61.92317887189319,143.8198129032594,30.427022848066237,48.7914094256144,52.74734019441495,39.37636602586866,43.129713117573125,49.010171079654725,103.25197029593704,53.110447800598735,118.66784179155704,260.80657118000425,172.65054322162513,81.07425497589985,117.0181132595264
2.3,416.50153211017584,1.5015321101758032,33.00000000000001,357.3474493408851,73.35952166224465,6.785204828928545,277.2027228497119,196.07711468508953,553.4245640259746,997.5698834653833,145.42466481408522,340.7213391991142,142.12871165306902,132.58597814861403,114.80129427641336,256.0066349991296,237.88271405365856,51.37765959535537,204.91560239221238,700.7304166737567,71.1168867207083,718.8345517350608,211.45025714057587,1419.5649684088175,334.5222970788464,725.2646604160585,53.0,10800.000000000002,60.0246906305278,41.42477881696958,10.239725532298841,54.322604797962484,59.072234733824345,53.44529112172602,107.16973112909221,50.77593978408566,116.31798206272826,90.63013808453508,44.92281957625924,37.799994998156826,69.52985436120981,66.18921576352365,46.484457388045534,58.56944905136897,95.2072239295018,33.705791015980694,119.1586645449103,264.8980976472854,188.96402567624833,88.00161840476571,112.78255298143348
2.4,447.19682634241303,1.8806129848271995,32.999999999999964,341.09214533363087,75.77480150482076,35.264590031272874,230.05275379753724,259.23002980771366,600.3221751413445,1055.3011588836207,131.5986051175571,160.3701660667287,142.8319557296768,110.88915044039207,92.79162868105011,274.4241411876862,216.70826805590974,111.80464512577954,248.683325392803,738.2940574711223,192.5219938225324,675.8825213629171,182.8713147324907,1414.1765788340394,253.9635501953561,928.1031423051435,52.99999999999994,11442.152365880338,28.74605146313255,17.035421447113894,13.979046788648143,24.046349138638465,27.09720895821589,30.266010601682293,69.36772709077809,21.984459944114192,37.427539099754114,42.667749259240864,19.162445990001764,20.445079934889264,31.637715042942585,33.79407632990143,28.46446240905402,34.28109849921939,56.124758487794004,47.71582591980135,53.555272553396016,134.90932470354676,94.04863236192396,34.712025923866904,78.32000467891713
2.5,440.833061611909,2.939241208686753,32.99999999999998,312.6059609433199,76.8356102178003,28.701447008948314,207.06890371657127,334.45399645452227,647.0599573978421,1084.7302091751149,238.38984198509112,245.53928809658626,75.18920073596534,57.888512934813036,101.0108809483984,239.93520468449069,184.3270679545388,173.41518697725522,328.15335567561885,784.839089192473,137.76288292064578,683.6556768953488,323.4677101575445,1468.4947660878217,292.58544446437276,824.2985670977257,52.99999999999998,11615.955119278646,58.35556261877873,36.774745922471666,27.14751272661042,43.33500379855564,50.78868490522041,66.19920700239045,135.66319038348558,56.94466325177505,120.69778423570814,34.78067669607916,30.040997915581716,32.21736508099583,69.41622926812528,52.598027912332334,67.50865733893664,70.51471179169495,137.2711521221487,99.0720598766682,113.02421925666985,264.59432818632934,208.13732104609744,77.25843304924098,104.45747223287557
3.1,436.8251962673944,2.036298507952477,33.00000000000001,235.09709153539026,56.1600104190542,22.080413357514587,156.85666775882146,212.691228868984,447.7883204043743,778.0526731385813,90.17969176622972,116.03598419298226,35.22769120015508,31.286415286475307,31.43375978645042,104.11218839618866,198.96087419556144,179.604501523633,232.65493395027258,596.882129322408,419.5063624425918,570.025377472795,274.70864694327435,1166.9075067952033,345.2482360161888,740.9351844587915,53.00000000000001,11492.469413256506,48.162999630018696,26.68738073979127,16.623929203432887,45.17371014031541,49.23382691428338,59.25332315782613,99.90518504158248,36.37008729907822,58.01887006466436,22.4337940995644,20.099325637362664,18.540808215053197,35.39212161195644,56.958295087484956,57.40151744336848,79.87626153910463,112.60770495398947,132.61550710331156,87.5417311973227,236.41292600637388,158.24653226999652,82.32866014649868,164.25480877628547
