gis_id,public_health,farmers_market,parks,libraries,community_centers,emergency_hub,tree_rel_area,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,num_units,num_permits,total_value_permits,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
530330004011,2.912622756,4.034069168,0.133207343,0.933186512,0.653807978,0.219786083,0.000972943,0.002451295,1.71E-05,133,44,73,71,51,0.005866019,25,68,0.033557921,0,81,71835075,15,10,36,26,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004012,3.166290237,4.650356919,0.605984561,0.751318628,0.941524927,0.556944319,0.001098588,0.002075933,1.21E-05,140,42,51,50,47,0.004696748,25,70,0.015254558,0,39,10446437,11,11,44,37,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004013,2.555683048,4.097759209,0.260350643,0.43967576,0.307108691,0.323859837,0.003840689,0.010107682,5.90E-05,135,41,41,61,50,0.033270225,24,70,0.067143209,0,17,2255239,6,6,39,37,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004021,2.404217661,4.333178327,0.49044784,0.078897689,0.583736278,0.277224842,0.001688728,0.002183357,1.51E-05,128,38,68,68,49,0.014432756,22,66,0.031294625,0,28,11547875,1,1,33,27,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004022,1.381276104,3.756010307,0.707491182,1.104793998,1.051958248,0.736160494,0.003090154,0.0030237,1.41E-05,112,34,46,59,51,0.047341648,22,63,0.040503806,108,42,7095168,22,14,23,23,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004023,1.805859372,4.079581112,0.420233032,0.98389866,1.249418589,0.41995794,0.000522581,0.000570357,4.89E-06,117,34,56,54,51,0.005006484,21,63,0.003345016,0,40,6024229,13,3,30,30,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330004024,2.114327155,4.363424651,0.051103402,0.5180914,0.880674421,0.721093662,0.001656511,0.002136184,1.30E-05,123,37,52,54,49,0.013970465,22,68,0.078909699,0,38,4107573,7,4,32,26,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330005001,3.328271778,5.343716994,1.039518776,1.040410553,1.599585088,1.036320878,0.00246519,0.000167425,1.86E-05,146,55,17,20,38,0.02000235,26,83,0.031776496,0,59,6003258,16,16,51,34,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330005002,2.708814592,4.847404662,0.655496574,0.62936702,1.212593379,0.7431332,0.001613783,0.000247481,2.28E-05,134,48,39,38,43,0.012249771,24,76,0.001399936,0,39,6439716,11,11,40,29,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330005003,2.576594073,4.298239744,0.135344588,1.153370229,1.67415292,1.012481157,0.034188498,0.000131995,1.47E-05,133,51,27,20,40,0.033342295,24,78,0.032952659,0,55,7588204,22,19,46,40,417,0.423156667,0.496856667,0.95024,14,0.742,0.602,0.56115,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006001,2.142298707,2.955688514,0.86257847,1.478006578,0.893346003,0.555176138,0.003491748,0.005510305,4.75E-05,125,39,34,43,50,0.044844737,23,68,0.079137041,0,77,33242830,21,21,19,12,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006002,1.771688123,1.406332618,0.176776031,1.116301252,2.035063559,0.23060072,0.004156335,0.01062014,5.93E-05,98,30,83,62,54,0.025988939,20,69,0.077804591,0,22,21853452,18,15,18,18,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330006003,1.447324871,3.013155031,0.958631954,1.423241076,0.990635159,0.888941043,0.003597839,0.005868915,3.29E-05,114,36,58,53,50,0.03720831,21,64,0.054641754,0,62,6893236,23,11,13,13,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006004,0.70955378,3.05737441,0.704430947,1.263801212,1.601100605,0.833487992,0.003289495,0.003379613,1.74E-05,106,36,57,48,56,0.018433893,20,62,0.032198356,0,77,34789408,21,21,10,10,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006005,1.487091161,2.085833545,0.449739793,1.303012658,1.856802808,0.754705072,0.002502223,0.002636598,1.24E-05,112,38,31,40,52,0.015572386,21,72,0.018185776,0,15,1676020,23,23,7,7,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330006006,1.633328594,1.635583822,0.333194828,1.131330657,2.345669134,0.441576605,0.002344506,0.003058412,1.38E-05,99,29,77,61,53,0.034540746,20,65,0.030373421,31,39,3769581,16,9,15,15,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007001,3.269846314,0.347456673,0.160782876,0.374536744,1.298242244,0.345411757,0.00065484,0.009264835,2.67E-05,99,28,87,72,57,0.016343157,21,58,0.04436313,261,33,36926226,7,7,41,23,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007002,2.968221932,0.54592414,0.383717817,0.567932109,1.074069773,0.707741312,0.003812346,0.003920538,1.59E-05,94,32,80,70,57,0.01805326,23,62,0.029646191,0,30,3399292,8,8,37,26,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007003,2.436057621,0.739908724,0.382006364,0.730265242,1.744307465,0.817018685,0.002655448,0.00472485,2.15E-05,98,31,78,60,57,0.010151638,21,67,0.029202061,0,36,3814119,12,6,28,18,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330007004,2.253813512,0.943658446,0.085986537,0.945104789,1.466004956,0.645112349,0.00236507,0.000462896,4.68E-06,93,32,79,66,57,0.015433975,20,66,0.025853332,0,26,4619734,16,10,24,23,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330008001,3.71775733,0.931916359,0.660868573,0.957639877,1.099597708,0.617507848,0.00464864,0.005250428,2.79E-05,102,28,54,56,53,0.032505576,21,67,0.013997262,0,42,5827134,17,9,47,32,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330008002,3.71291559,1.587847653,0.507099749,1.614925124,0.528914825,1.399160798,0.001634918,0.00120205,6.51E-06,95,29,40,49,42,0.016947456,21,68,0.00947802,0,52,4915419,29,12,48,17,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330009001,4.198546612,1.563169074,0.682838076,1.588642306,1.172660574,1.212180474,0.00373494,0.003181516,1.77E-05,105,29,16,36,45,0.023337786,22,70,0.00059643,0,59,8593388,25,16,58,23,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330009002,4.479928437,2.642108289,0.803488343,2.669250596,1.316909412,2.028909342,0.000974628,0.001130913,6.28E-06,93,29,22,52,38,0.022849012,21,73,0,0,63,8163037,43,13,47,42,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330010001,2.909108241,1.124869437,0.383360362,1.147352871,0.541186485,0.998517743,0.00390631,0.005259385,2.07E-05,89,30,55,58,53,0.027383433,20,68,0.056028651,0,36,8421301,17,13,42,35,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330010002,2.914499377,1.708049022,0.23850863,1.730226039,0.371153161,0.959612227,0.006306619,0.003206126,1.64E-05,83,28,48,47,48,0.028770578,19,68,0.062622515,0,54,2553947,26,13,41,17,482,0.87187,0.898563333,0.96306,18,0.862,0.62,0.09336,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330011001,2.207472774,1.297819272,0.287037799,1.308518929,1.12340254,0.4218443,0.003019683,0.003967679,2.03E-05,87,30,67,61,55,0.012978718,19,67,0.037150559,0,42,5291508,21,12,28,28,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330011002,2.030291581,1.888060908,0.178347213,1.138510498,1.234179019,0.2186701,0.004173431,0.00113608,7.80E-06,81,34,51,48,52,0.005321881,19,67,0.011478445,0,53,6172423,24,17,35,30,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012001,1.475520923,1.93263385,0.270204659,0.569410925,1.766025272,0.501501122,0.001945443,0.00433164,2.62E-05,87,29,65,55,60,0.030632936,18,65,0.040513547,0,50,9084027,13,9,24,24,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012002,1.118613163,2.379659995,0.203764572,0.286984071,2.13897665,0.21532545,0.004687112,0.012949529,3.87E-05,85,24,84,57,62,0.057858627,19,60,0.058920052,0,27,1566313,6,6,23,17,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012003,1.093150326,2.089189111,0.285778834,0.355872802,2.235886287,0.573739062,0.004151111,0.035928144,7.19E-05,92,24,90,63,58,0.075406718,21,59,0.190025316,356,43,87874742,6,5,17,15,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012004,0.650166181,2.530554743,0.302840254,0.31767555,2.488055114,0.613118359,0.001274209,0.011672069,2.06E-05,93,26,77,65,61,0.029981949,22,60,0.070888446,207,84,67725096,6,6,15,15,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012005,0.303752,2.861016974,0.420658784,0.687064851,2.243320953,0.802328778,0.000972777,0.001777839,6.84E-06,100,34,72,61,59,0.004523518,17,65,0.027179031,0,46,5695601,15,15,17,17,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330013001,0.409931983,3.069954831,0.339038749,1.195980064,2.514569531,0.396894168,0.00188679,0.003158803,1.03E-05,90,35,83,63,61,0.012511265,19,61,0.041122925,0,80,18376730,24,16,24,14,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
