long,lat,OBJECTID,GIS_ID,name
-122.313085,47.665527,1,,University District
-122.320741,47.616351,2,,Capitol Hill
-122.386809,47.561184,3,,West Seattle
-122.286087,47.558601,4,,Columbia City
-122.297852,47.719675,5,,Lake City
-122.354093,47.677486,6,,Phinney
-122.398728,47.639621,7,,Magnolia
