tract,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,health_inverse,dev,population_total,population_female_perc,population_male_perc,perc_under18,perc_19to34,perc_35to64,perc_over65,num_units,num_permits,total_value_permits,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper,public_health,farmers_market,parks,food_banks,occupied_housing_units,perc_owner,perc_family,avg_occupancy,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,median_house_value
53033001000,33,200,6,-0.120919406,0.463547586,0.46250595,-0.578818298,0.790264625,0.639751072,0.379145995,-0.379145995,-0.280633174,2094,0.473148848,0.526851152,0.25597551,0.235940419,0.426028739,0.082055332,0,90,90,0.754349926,0.776778643,0.959178522,0.846969219,0.61248461,0.3413,0.738875,0.92555,0.78,0.503,2.912116054,1.450235951,0.302544942,1.611873841,792,0.518207753,0.640243281,2.507998126,0.004113834,1.83E-05,85.6524907,28.88416357,51.09457248,51.86289961,50.21040892,0.028157346,19.44208178,68,0.059707488,0.480503736,0.082320238,73566.72868,35053.96939,0.055516594,2.615117473,418563.9555
53033001100,33,300,1,0.227593042,0.468671858,-0.706687796,-0.531787565,-0.223316128,0.729471067,0.278230048,-0.278230048,-0.266963259,2669,0.508798617,0.491201383,0.184218998,0.27774811,0.418162376,0.119870517,0,95,95,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503,2.11407224,1.608963377,0.229741883,1.804721009,1091,0.672510075,0.578073225,2.420990649,0.00247501,1.37E-05,83.83711802,32.10858798,58.56564807,54.14708905,53.41855901,0.008942439,19,67,0.023617581,0.335816122,0.056087437,64463.52705,40152.43118,0.023055,2.717315858,397214.2136
53033001200,33,300,2,-0.557278656,-0.095578296,0.525146653,0.088713975,0.594429338,-0.062578756,-0.009190633,0.009190633,-0.113366437,6556,0.519796896,0.480203104,0.137080165,0.360890515,0.35354432,0.148485,563,250,250,0.595986907,0.620241222,0.958719637,0.838570509,0.661220612,0.351260805,0.7398981,0.92358121,0.755445595,0.492645733,0.908095855,2.38012687,0.31505771,2.183424215,3568,0.384068842,0.406762896,1.936296773,0.007694027,2.32E-05,92.0958886,29.08698489,72.81644582,59.39658174,59.99679879,0.028142584,18.7624258,63.15901057,0.052862266,0.459605197,0.151791432,54883.52763,35276.75096,0.028714169,2.337818636,322776.8447
53033001300,33,401,1,-0.45125202,0.038448809,-0.537785928,0.291837982,-0.251345748,-0.791731308,-0.345671906,0.345671906,-0.172357643,4389,0.528661886,0.471338114,0.095710119,0.394673723,0.385982443,0.123633715,124,188,188,0.429936667,0.518276667,0.94808,0.912,0.554,0.37497,0.742333334,0.918895,0.697,0.468,0.703211823,2.948892325,0.496113954,1.069040608,2180,0.441060017,0.452134243,1.916262838,0.003073855,1.14E-05,92.60719773,31.57758558,86.13945693,66.42914557,58.992373,0.010118849,19.28968864,58.72960898,0.050576663,0.420473625,0.108518151,57111.66283,41048.2202,0.053675611,2.433569562,318180.8207
53033001400,33,401,2,0.115553929,0.660277283,-0.397323642,-0.569916569,0.381243007,-0.070788556,0.433889629,-0.433889629,-0.247957101,5505,0.500540187,0.499459813,0.157552277,0.252878917,0.471520808,0.118047998,54,195,195,0.584828016,0.682942598,0.95478694,0.877045265,0.577485213,0.37497,0.742333334,0.918895,0.697,0.468,2.378618757,3.372525996,0.754402761,1.194872104,2209,0.656833494,0.641241661,2.435104203,0.00229775,1.64E-05,118.3130143,41.75528687,57.13423089,40.50684893,49.86712049,0.016024259,22.39337825,66.66748758,0.033976359,0.190897978,0.09544842,93937.78074,40390.63185,0.042649311,2.58016515,444400.1088
53033001500,33,401,3,0.823440755,0.463417265,-0.898831085,-1.6182119,0.828638233,0.6564552,1.474808106,-1.474808106,-0.282654084,2398,0.478506742,0.521493258,0.187434264,0.10362881,0.538170949,0.170765977,0,126,126,0.787179729,0.858935736,0.960449774,0.844072392,0.617199128,0.37497,0.742333334,0.918895,0.697,0.468,4.586997793,3.625994346,0.361002687,1.875438302,1107,0.787201369,0.545856092,2.11765328,0.001847198,2.97E-05,135.7556524,48.82804413,23.80543449,33.5610869,43.75565241,0.007668671,26,76.95021792,0.009134876,0.098932069,0.018485978,94610.29862,55577.14792,0.040870813,2.853163035,587723.5426
53033001600,33,402,1,0.503593195,0.877152476,-0.603365661,-0.994675352,0.725830085,0.189332968,0.815822812,-0.815822812,-0.230323121,4111,0.526411068,0.473588932,0.177609003,0.155714573,0.478335889,0.188340536,54,269,269,0.713533333,0.81977,0.96036,0.848,0.597,0.37497,0.742333334,0.918895,0.697,0.468,3.580845549,2.968101077,0.233719474,1.816815029,1767,0.788485891,0.621877443,2.234214639,0.003371698,2.04E-05,119.7729876,41.85152731,60.09696996,48.37673216,48.84541476,0.009088989,24.03190243,67.86501507,0.04799487,0.201955915,0.083123707,95291.01594,54817.7445,0.024676899,2.703324079,632297.9644
53033001701,33,402,2,-0.291293504,0.118296103,-0.302018576,0.21205993,0.428685012,-0.716020175,-0.305412546,0.305412546,-0.13821939,4055,0.467193655,0.532806345,0.145616933,0.31989238,0.432217609,0.102273078,226,205,205,0.560295891,0.657380366,0.95478533,0.903680733,0.62055414,0.37497,0.742333334,0.918895,0.697,0.468,1.731705873,2.256438214,0.583031589,0.506694554,1979,0.519035003,0.42086164,2.011608855,0.002683291,1.29E-05,95.05849854,33.19766157,82.09100048,73.77308916,55.7522794,0.021656532,19.44538217,60.19766157,0.031868177,0.3427328,0.103811681,70277.42114,48312.71286,0.064341329,2.537203565,313424.4173
53033001702,33,402,3,-0.309782503,0.444131313,-0.575106967,-0.078475423,0.228595315,-0.492511931,-0.09573026,0.09573026,-0.10541351,4408,0.488510326,0.511489674,0.12113314,0.36998907,0.386402258,0.122475531,270,232,232,0.606593425,0.668958484,0.956004903,0.840186929,0.579465628,0.37497,0.742333334,0.918895,0.697,0.468,2.427637878,2.301872834,0.444924957,0.737504779,2074,0.581069485,0.437449424,2.108863149,0.002697177,1.54E-05,103.7864784,37.78305002,77.97848999,63.19616781,54.95932135,0.015283603,20.50931256,59.68640387,0.022254415,0.269671277,0.089808498,64649.65347,37043.97037,0.048604707,2.390922115,379283.9288
53033001800,33,402,4,-0.138763699,-0.125029438,0.116573309,0.295900737,0.696865969,-0.487566094,-0.308408515,0.308408515,0.120086098,5217,0.450825447,0.549174553,0.127134555,0.462625942,0.371859833,0.038379669,412,152,152,0.71604,0.761426667,0.95653,0.839,0.649,0.37497,0.742333334,0.918895,0.697,0.468,1.524206627,1.985795267,0.458993611,1.150091452,2225,0.457733776,0.434861312,2.212976308,0.002504357,1.10E-05,80.77883561,27.55558548,76.0668404,67.53371458,57.10388065,0.014552699,17.2964726,54.85205808,0.102135516,0.329419441,0.105987555,78721.31352,39884.31139,0.026135474,2.592848215,366270.2507
53033001900,33,500,1,-0.131741959,0.370762924,0.727833052,0.038024739,1.351474492,0.908562092,0.167106203,-0.167106203,-0.233897779,4723,0.518805432,0.481194568,0.142346405,0.313073227,0.428880064,0.115700304,20,275,275,0.681476667,0.72335,0.96182,0.872,0.684,0.413886667,0.788928334,0.927905,0.7855,0.509,1.330220056,2.966044539,0.739705809,2.295798921,2175,0.644786057,0.4460849,2.12507625,0.007466765,3.31E-05,76.6813089,24.69961702,59.4891056,64.80779441,60.31136694,0.027733786,18.00732188,62.01830584,0.083298312,0.324247309,0.127295094,74990.39419,49734.03005,0.055148142,2.549335829,367381.925
53033002000,33,500,2,0.435584148,-0.253957201,-0.723563217,-0.260447417,0.445544813,0.705107926,0.532079256,-0.532079256,-0.264862854,3600,0.513575301,0.486424699,0.159536363,0.280471306,0.439120722,0.12087161,0,150,150,0.586363264,0.613435404,0.959120313,0.833806749,0.615461426,0.3413,0.738875,0.92555,0.78,0.503,2.002463732,2.806295586,0.433179349,2.992576751,1606,0.589338837,0.500024764,2.145397919,0.001349204,1.03E-05,69.86082868,24,75.85098346,58.68205699,54.07271753,0.01219757,17,60.22837072,0.037251586,0.16759115,0.076847559,77379.54623,48952.85486,0.029516214,2.722569277,444564.5391
53033002100,33,500,3,0.419769396,0.405042674,-0.658421178,-0.526900781,1.591711874,1.405370775,0.705261144,-0.705261144,-0.169829973,4148,0.4792065,0.5207935,0.185552227,0.231572425,0.47147642,0.111398928,215,178,178,0.87187,0.898563333,0.96306,0.862,0.62,0.413886667,0.788928334,0.927905,0.7855,0.509,2.993255454,2.662348563,0.489254799,2.830748318,1723,0.710210083,0.575907116,2.286051206,0.002420372,1.38E-05,66.43095111,28.68228544,61.54334382,63.63708187,47.89506217,0.011609967,18.44255535,65.21692609,0.031214889,0.261165091,0.095151077,90874.34506,45073.50644,0.025279714,2.797907937,429280.5316
53033002200,33,600,1,1.122820861,0.858447551,-0.833515716,-1.267773886,1.447816529,2.000128845,1.417631781,-1.417631781,-0.284256564,5622,0.537456654,0.462543346,0.240367254,0.101687722,0.480433282,0.177511741,0,287,287,0.814884844,0.848515506,0.962073318,0.83495832,0.6725832,0.429607502,0.78810524,0.928646749,0.780905396,0.508945949,4.339285066,3.159099526,0.349317173,3.270923445,2171,0.892708817,0.733286357,2.470140839,0.001208109,7.72E-06,81.54036638,41.52230385,43.76876433,52.41950909,43.73057154,0.011270935,20.90056453,70.99172752,0.022125782,0.254751513,0.027873799,145207.8245,72227.99816,0.014133204,3.104661846,637625.5253
53033002400,33,600,2,0.905647166,0.23122392,-0.074342345,-0.780866248,1.511979951,2.56265319,1.074431057,-1.074431057,-0.282359569,2994,0.51953737,0.48046263,0.228423723,0.166290542,0.481547334,0.123738401,0,151,151,0.852784366,0.886467849,0.96319357,0.84270659,0.666749415,0.621576667,0.835910834,0.936555,0.7535,0.515,4.180858311,3.09083326,0.438743099,3.239584536,1247,0.760232061,0.656314258,2.381851154,0.002390142,1.87E-05,60.22655105,27.78617649,64.71776438,77.56915325,43.97813307,0.015927909,19.27981272,69.40936823,0.096080211,0.183876298,0.01767643,109259.941,52046.40594,0.035627138,3.034598704,466383.3575
53033002500,33,600,3,0.793727404,0.189320333,0.471234557,-0.230294497,1.440436732,2.265736392,0.391140927,-0.391140927,-0.272194762,2981,0.555157555,0.444842445,0.203597509,0.211197387,0.480344118,0.104860985,0,156,156,0.87187,0.898563333,0.96306,0.862,0.62,0.621576667,0.835910834,0.936555,0.7535,0.515,3.443322899,2.235277751,0.240736049,2.441854315,1266,0.768172735,0.581464317,2.314304043,0.002110289,1.14E-05,47.74884161,19.21594055,65.92956433,77.03521783,51.92956433,0.026219417,17.32159406,57.74884161,0.117787165,0.142759228,0.030652283,107774.6703,50907.20479,0.025443354,2.941859129,457470.899
53033002600,33,600,4,0.535346612,0.094836679,-0.451505111,-0.011649725,1.002433469,2.012294475,0.222714958,-0.222714958,0.201231191,4989,0.459176993,0.540823007,0.194645464,0.293837928,0.416907205,0.094609404,884,247,247,0.703605697,0.715685725,0.95922946,0.872223861,0.66702976,0.621576667,0.835910834,0.936555,0.7535,0.515,3.052376964,1.999096036,0.367164672,2.099448123,1919,0.648009977,0.58511807,2.490878964,0.001558288,1.07E-05,51.03888901,20.64527331,76.17827549,75.03171638,53.6598457,0.012040696,15.78937805,56.32226301,0.069361818,0.19991722,0.082626305,91584.60207,43338.2083,0.019871479,2.899553861,543245.0836
53033002700,33,600,5,0.580642516,0.366891809,-0.217985857,-0.08810891,0.647198283,1.266509267,0.10958162,-0.10958162,-0.223947575,6027,0.507206439,0.492793561,0.161058453,0.311335089,0.430036095,0.097570362,70,279,279,0.694842717,0.730884946,0.95674188,0.847847724,0.658313393,0.591076737,0.809719815,0.931990367,0.687907378,0.481244733,2.211217561,1.971215349,0.420175152,1.796882376,2319,0.707925478,0.582907173,2.433200993,0.002287147,1.21E-05,65.69685392,25.73497427,72.90954914,75.01177006,52.20135778,0.015172853,16.45260596,59.04418383,0.077595009,0.260234568,0.065051412,120509.9749,60434.9873,0.016290796,2.892059706,538501.6617
53033002800,33,600,6,0.558058083,-0.148915156,-0.173681141,0.168515508,0.865116917,0.697988092,-0.2333921,0.2333921,-0.258901984,4727,0.554304527,0.445695473,0.178617452,0.309231126,0.444033634,0.068117789,24,323,323,0.67980829,0.766862133,0.959112911,0.88015627,0.666739772,0.58182,0.801770834,0.930605,0.668,0.471,2.610500185,0.878136538,0.566842709,0.521942472,2032,0.578288065,0.554595561,2.284601855,0.002717746,1.12E-05,78.53048691,26.2848604,86.92752269,80.47506182,50.91044802,0.011218149,18,57.52793341,0.107095886,0.140655271,0.065248912,96129.21981,46637.05865,0.0218195,2.908693845,511082.0099
53033002900,33,700,1,0.582145982,0.037285616,-0.346381995,0.198257927,0.908380492,0.378717513,-0.2775857,0.2775857,-0.194617154,4303,0.498793052,0.501206948,0.192376574,0.228600402,0.498603278,0.080419747,124,268,268,0.713395045,0.78859096,0.961672551,0.842440518,0.643689177,0.405745,0.778870834,0.9311,0.654,0.443,3.091948253,0.963532899,0.302915344,0.527024744,1878,0.655617381,0.547185051,2.226466411,0.001766706,9.38E-06,90.04661662,29.46261545,85.29609173,78.37379067,51.62767424,0.015542037,19.43301176,53.07181184,0.076818259,0.098181587,0.089041741,102228.5523,54361.34513,0.02680996,2.851305355,496369.1802
53033003000,33,700,2,0.477455936,0.275842707,-0.104907193,-0.187046675,0.676174099,0.715457975,0.11135747,-0.11135747,-0.195126783,5719,0.502883865,0.497116135,0.234829299,0.225083397,0.455212663,0.084874641,147,355,355,0.787910018,0.826467224,0.963129787,0.782447078,0.608742361,0.405745,0.778870834,0.9311,0.654,0.443,3.704926116,1.751317241,0.328754164,1.091092864,2434,0.665926184,0.547739051,2.309310801,0.002123328,8.70E-06,101.8394097,29.58050735,78.60116586,69.89083874,52.79468346,0.013806902,21.36512422,57.33734184,0.102028008,0.184716167,0.059094305,90051.0274,43025.17411,0.018544664,2.750637203,502429.8705
53033003100,33,700,3,0.64328057,0.705102043,-0.139069871,-0.858983751,0.74223029,1.035990365,0.715057267,-0.715057267,-0.271450665,6223,0.515388197,0.484611803,0.214498219,0.161959087,0.519631207,0.103911486,0,353,353,0.762764823,0.832842576,0.960065609,0.853506168,0.622578193,0.405745,0.778870834,0.9311,0.654,0.443,4.923483465,3.01986144,0.395314131,0.826204936,2610,0.798774764,0.62706985,2.356251586,0.00207321,1.48E-05,121.6805632,40.73474026,60.6958765,63.11369942,45.32754194,0.014994457,24.35389999,68.57386359,0.086009127,0.135235212,0.047477885,101928.9134,47326.06315,0.030335908,2.786558503,506249.0075
53033003200,33,700,4,0.724568216,0.015844068,-0.329861315,-1.117037486,0.548078364,1.129255003,1.093049544,-1.093049544,-0.253133133,8233,0.479114867,0.520885133,0.173155406,0.261756616,0.418289754,0.146798225,25,512,512,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443,5.942032906,3.330331054,0.300529911,1.08324592,3971,0.644480221,0.533585857,2.20235997,0.001033298,9.98E-06,113.0188924,40.8217215,61.47104608,75.92502254,33.86322189,0.017313481,24.17711445,69.74563751,0.061755082,0.164021824,0.048684877,87529.69681,50055.74397,0.033288047,2.880170598,607238.8449
53033003300,33,800,1,0.49817205,-0.677802049,-0.57186037,-0.099851286,0.687643538,0.690703377,0.224803066,-0.224803066,-0.100600334,6572,0.503714211,0.496285789,0.129073321,0.370873951,0.416241607,0.08381112,328,564,564,0.69773111,0.783903185,0.960388487,0.857531017,0.612598374,0.409849898,0.786732401,0.932187841,0.666237405,0.454142479,4.69726235,1.839859605,0.3314342,0.877618261,3166,0.455242637,0.494111106,1.987712473,0.001076075,5.93E-06,96.65630276,31.51850574,88.37134638,77.55278465,50.31671221,0.013067364,21.48152234,60.04594296,0.07234482,0.169173253,0.086117803,85469.02458,48866.18356,0.033191939,2.808980085,439882.5436
53033003400,33,800,2,0.931962243,-0.116267461,-0.629834204,0.232638977,1.606028681,2.174588523,-0.096686596,0.096686596,-0.272379061,3587,0.548541858,0.451458142,0.218054642,0.230221288,0.466829653,0.084894416,0,192,192,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295,4.10042529,0.769831057,0.393366608,1.174745764,1506,0.646291959,0.664402992,2.345528983,0.00051206,3.28E-06,79.21573522,27.91620001,76.03006486,72.37134072,52.07180551,0.01072811,18.36526482,46.71853517,0.068741139,0.142538883,0.035320419,101688.0385,51467.72769,0.01140994,3.115305867,529276.9055
53033003500,33,900,1,0.677089274,-0.410889945,-0.384727666,0.016063159,1.404549376,2.511478185,-0.008040928,0.008040928,-0.233537726,3960,0.524841385,0.475158615,0.176135712,0.254978473,0.456729441,0.112156373,57,261,261,0.863196667,0.909223333,0.96129,0.899,0.649,0.613686667,0.862800834,0.93905,0.763,0.5575,3.847183191,0.532953919,0.405644462,1.032088039,1841,0.55576173,0.486637389,2.088955322,0.002012851,8.87E-06,68.42252121,27.40424817,72.47133019,79.52585111,49.43767735,0.014593997,17.29787592,57.31607441,0.065761205,0.219556395,0.046650179,78666.13839,49761.03538,0.023067312,2.995426258,568658.1882
53033003600,33,900,2,0.495000457,-1.158302739,-0.481686914,0.273677038,0.717414231,1.786617497,0.060980263,-0.060980263,0.447602244,6122,0.490357651,0.509642349,0.111071364,0.463261144,0.318203001,0.107464491,1053,310,310,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515,3.340563159,1.559069128,0.475253234,1.368108445,3210,0.386634667,0.248935837,1.932561304,0.003258383,1.75E-05,50.47381848,25.06682487,82.58786701,88.12014468,55.6262051,0.012871904,17.19664671,57.37686116,0.051450482,0.264801963,0.075778088,72674.72395,47974.48809,0.021263734,3.01519131,574471.9605
53033003800,33,1000,1,0.636208119,0.341362069,0.261038631,-0.130351273,1.520488747,2.219681096,0.334360347,-0.334360347,-0.271801633,2165,0.473230221,0.526769779,0.213881419,0.24982244,0.397443382,0.138852759,0,167,167,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515,4.131733564,2.009206262,0.676510224,2.162850186,856,0.7318619,0.575175765,2.463201313,0.004484807,1.84E-05,44.23784534,19.44756907,66.37082881,69.92325975,51.6572928,0.013831926,18.44756907,53.55243093,0.114924314,0.251805543,0.069723497,97811.72638,50116.12268,0.027890034,2.916427072,541157.7681
53033003900,33,1000,2,0.761056146,0.63400494,0.240922405,-0.477627118,1.750890163,2.433802669,0.783715104,-0.783715104,-0.274347732,3080,0.534986113,0.465013887,0.220392715,0.172452612,0.454246742,0.152907931,0,147,147,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515,4.985517119,2.845518,0.286309207,2.927214036,1161,0.800432347,0.701779453,2.546629717,0.00330324,1.64E-05,53.25845444,24.12922722,59.19081892,68.3538639,46,0.019523099,19.56461361,53.43538639,0.102797824,0.212715211,0.038852478,124369.7571,52886.67649,0.03439098,2.939196863,572934.782
53033004000,33,1100,1,0.918901624,-0.01039507,0.3061661,-1.212449528,1.031895464,2.759677865,1.715683039,-1.715683039,-0.220166175,3125,0.528546366,0.471453634,0.247391579,0.216740427,0.420618285,0.115249709,0,193,193,0.70533105,0.743164576,0.95871772,0.856473706,0.604718185,0.621576667,0.835910834,0.936555,0.7535,0.515,6.061412771,4.071578999,0.38183059,4.111876901,1322,0.68681108,0.621299773,2.322019825,0.005400468,3.54E-05,66.82818154,34.43034935,34.5804897,59.40867124,44.79566438,0.021282302,23.40867124,65.63468497,0.078439441,0.274646812,0.032428657,99386.65774,54638.60134,0.050540185,3.109292249,571106.1789
53033004100,33,1100,2,1.317529435,0.078704386,-0.672013317,-1.199202811,-0.178863763,3.016357101,1.396411451,-1.396411451,-0.27537764,7868,0.497250959,0.502749041,0.258260812,0.166266936,0.42386335,0.151608902,0,575,575,0.733250029,0.671698912,0.954535506,0.769117853,0.509676379,0.621576667,0.835910834,0.936555,0.7535,0.515,6.548626705,2.998345324,0.541417996,2.900621856,2900,0.684381548,0.784789827,2.746044016,0.001035633,6.73E-06,43.14943038,29.16102762,51.37850982,60.19792757,48.20073762,0.006782905,20.69877538,69.62579032,0.067087267,0.162450689,0.03593776,139828.9172,69531.12667,0.021467452,3.164689751,966527.5053
