block_group,household_1_person,household_2_person,household_3_person,household_4_person,household_5_person,household_6_person,household_7ormore_person,household_family,household_female_family,household_male_family,household_married_family,household_nonfamily,household_total,population_19to34,population_35to64,population_65andover,population_asian,population_black,population_female,population_hispanic,population_male,population_no_health_insurance,population_race_other,population_total,population_trans_car,population_trans_other,population_trans_public,population_trans_total,population_under18,population_white,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5ormore,vehicle_no
530330119003,60,178,56,67,39,20,35,268,108,0,160,187,455,520,511,214,841,420,667,59,865,39,67,1532,705,13,184,902,287,204,33,228,114,29,39,12
530330119004,68,203,11,27,78,12,66,346,85,77,184,119,465,424,724,208,829,438,744,194,1000,120,194,1744,570,65,35,670,388,283,279,85,101,0,0,0
530330119005,135,157,100,0,17,19,16,270,74,63,133,174,444,327,552,105,365,329,635,60,500,236,63,1135,654,12,86,752,151,378,134,199,49,12,50,0
530330120001,236,116,80,60,9,5,0,241,103,19,119,265,506,226,468,132,36,0,482,64,568,130,225,1050,417,100,82,599,224,789,220,134,83,20,0,49
530330120002,74,185,85,65,18,16,0,273,6,22,245,170,443,227,551,51,46,0,505,0,654,58,83,1159,484,64,104,652,330,1030,118,219,96,0,10,0
530330120003,96,218,96,77,20,0,0,334,35,0,299,173,507,295,565,146,32,97,663,18,602,34,56,1265,589,63,105,757,259,1080,83,302,88,16,0,18
530330121001,135,271,29,49,0,13,0,315,49,13,253,182,497,74,592,224,67,0,557,81,494,11,116,1051,420,86,71,577,161,868,134,302,31,0,7,23
530330121002,152,233,132,100,54,9,0,494,62,19,413,186,680,329,747,320,97,49,939,144,863,45,287,1802,836,100,56,992,406,1369,164,313,164,32,0,7
530330260011,163,198,96,83,38,0,0,387,54,7,326,191,578,243,687,217,326,306,804,83,595,68,154,1399,791,15,43,849,252,613,95,240,173,44,11,15
530330264004,290,146,55,19,0,0,0,182,43,17,122,328,510,230,306,193,48,47,480,189,358,173,139,838,435,30,16,481,109,604,224,270,0,0,0,16
530330264005,129,249,57,40,49,3,0,337,144,40,153,190,527,469,403,126,181,365,685,394,637,437,389,1322,453,16,104,573,324,387,88,214,115,0,0,110
530330265001,38,55,89,50,6,31,10,214,132,0,82,65,279,118,320,111,197,250,574,294,387,86,348,961,199,28,50,277,412,166,105,92,9,10,6,57
530339901000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
