block_group,household_1_person,household_2_person,household_3_person,household_4_person,household_5_person,household_6_person,household_7ormore_person,household_family,household_female_family,household_male_family,household_married_family,household_nonfamily,household_total,population_19to34,population_35to64,population_65andover,population_asian,population_black,population_female,population_hispanic,population_male,population_no_health_insurance,population_race_other,population_total,population_trans_car,population_trans_other,population_trans_public,population_trans_total,population_under18,population_white,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5ormore,vehicle_no
530330004013,562,190,38,0,0,0,0,123,21,0,102,667,790,307,321,482,102,56,687,24,423,63,39,1110,340,34,114,488,0,913,350,115,0,0,0,325
530330004021,235,226,22,33,0,0,0,190,45,16,129,326,516,322,317,406,53,0,641,49,457,84,69,1098,411,32,31,474,53,976,247,148,86,0,0,35
530330004022,178,112,81,18,0,0,0,109,12,13,84,280,389,178,432,46,35,10,357,19,381,94,49,738,427,132,59,618,82,644,156,114,103,0,0,16
530330004023,197,283,62,50,0,0,0,308,89,15,204,284,592,427,460,202,14,328,580,27,629,177,35,1209,344,159,196,699,120,832,190,192,61,32,0,117
530330004024,415,159,101,50,39,0,38,324,11,0,313,478,802,104,854,642,216,70,914,102,947,1,127,1861,656,77,120,853,261,1448,327,158,90,10,28,189
530330005001,73,217,58,50,17,14,0,312,17,16,279,117,429,62,511,303,35,13,579,7,513,0,5,1092,373,74,32,479,216,1039,96,207,88,38,0,0
530330005002,78,157,89,56,0,0,0,280,15,7,258,100,380,77,459,216,112,19,436,40,465,29,53,901,396,49,16,461,149,717,100,198,64,11,0,7
530330005003,78,198,102,44,15,0,0,359,26,18,315,78,437,125,613,110,106,0,513,0,538,90,39,1051,470,27,100,597,203,906,140,217,59,0,12,9
530330006001,83,228,70,37,0,0,12,306,23,48,235,124,430,137,418,320,217,54,485,23,544,42,46,1029,368,24,60,452,154,712,143,211,53,12,11,0
530330006002,282,122,27,11,39,20,0,191,39,0,152,310,501,162,490,167,223,0,529,0,481,142,85,1010,325,66,146,537,191,702,267,151,25,0,20,38
530330006003,270,174,127,71,32,0,0,277,0,0,277,397,674,625,417,171,253,36,553,385,919,263,447,1472,683,44,84,811,259,736,384,180,83,0,0,27
530330006004,173,386,106,53,38,0,0,516,97,41,378,240,756,537,744,158,112,182,937,49,775,228,63,1712,620,80,151,851,273,1355,197,471,51,0,0,37
530330006005,43,97,35,129,0,0,0,228,45,126,57,76,304,145,458,93,68,187,494,235,430,139,235,924,402,36,153,591,228,434,111,114,21,58,0,0
530330006006,253,291,38,46,0,52,0,298,30,20,248,382,680,556,588,152,235,65,847,218,680,308,129,1527,693,143,194,1030,231,1098,202,257,84,17,0,120
530330007001,369,264,85,182,31,0,0,487,111,86,290,444,931,838,560,290,529,329,1017,135,1084,349,102,2101,677,104,279,1060,413,1141,461,201,64,0,0,205
530330007002,230,125,70,47,15,15,0,201,69,0,132,301,502,539,367,99,105,58,643,208,485,194,129,1128,421,14,298,733,123,836,318,114,11,0,59,0
530330007003,165,94,88,58,15,0,14,237,32,0,205,197,434,139,647,63,210,17,548,182,527,32,52,1075,562,0,59,621,226,796,182,177,58,0,0,17
530330007004,119,135,33,0,15,0,0,138,15,18,105,164,302,155,208,176,27,30,341,27,247,9,92,588,209,16,129,354,49,439,133,107,15,15,0,32
530330008001,104,199,62,68,0,7,12,301,50,0,251,151,452,177,540,165,170,12,512,13,599,101,50,1111,451,59,112,622,229,879,146,187,104,0,0,15
530330008002,153,235,83,79,8,10,0,365,11,13,341,203,568,205,733,228,92,12,776,35,600,77,47,1376,540,98,116,754,210,1225,187,292,59,0,12,18
530330009001,142,169,53,53,18,7,7,262,7,13,242,187,449,212,548,149,104,7,620,45,459,35,118,1079,445,87,97,629,170,850,145,192,74,20,4,14
530330009002,114,159,69,41,9,0,3,274,0,11,263,121,395,93,430,194,38,10,499,22,393,14,47,892,339,35,64,438,175,797,99,217,66,0,7,6
530330010001,73,162,25,43,35,15,12,219,71,27,121,146,365,240,407,71,118,415,456,65,584,104,43,1040,225,71,91,387,322,464,171,111,37,20,3,23
530330010002,103,164,96,48,8,8,0,287,64,3,220,140,427,253,478,98,91,69,528,47,526,72,186,1054,285,152,142,579,225,708,142,203,47,8,0,27
530330011001,138,100,63,77,26,26,0,253,15,0,238,177,430,288,492,163,231,56,584,50,577,33,91,1161,395,63,137,595,218,783,147,135,91,26,0,31
530330011002,205,231,92,122,7,4,0,376,59,13,304,285,661,459,623,153,116,62,775,105,733,122,179,1508,538,168,196,902,273,1151,252,297,49,23,0,40
530330012001,158,196,74,40,64,0,0,328,61,17,250,204,532,203,638,206,227,0,633,47,656,139,133,1289,432,160,117,709,242,929,178,193,91,15,0,55
530330012002,308,86,82,39,0,0,0,110,0,0,110,405,515,452,296,32,231,98,211,152,689,148,166,900,311,74,223,608,120,405,194,145,39,15,0,122
530330012003,694,118,52,54,0,0,0,224,78,64,82,694,918,282,385,481,240,187,762,0,587,65,47,1349,319,32,143,494,201,875,475,78,24,0,0,341
530330012004,300,121,148,121,22,0,0,325,23,39,263,387,712,547,568,229,394,0,837,253,858,306,305,1695,273,226,200,699,351,996,407,100,0,0,0,205
530330012005,575,245,69,2,0,0,0,202,16,24,162,689,891,799,293,191,152,83,877,208,446,264,205,1323,510,47,152,709,40,883,433,143,32,0,19,264
530330013001,371,301,124,16,0,0,0,305,54,0,251,507,812,579,495,336,289,76,844,97,618,87,133,1462,582,50,264,896,52,964,314,175,94,0,16,213
530330013002,258,265,90,112,0,0,0,384,37,35,312,341,725,701,587,65,396,24,800,190,801,162,170,1601,759,130,171,1060,248,1011,284,309,55,17,0,60
530330013003,206,299,117,0,0,0,21,314,0,0,314,329,643,462,633,64,193,129,643,95,683,252,77,1326,603,132,91,826,167,927,288,244,12,0,21,78
530330014001,211,132,202,101,0,0,0,399,39,15,345,247,646,549,632,130,67,0,749,64,817,156,92,1566,765,92,62,919,255,1407,282,219,65,66,0,14
530330014002,105,174,38,32,48,5,0,242,64,0,178,160,402,412,437,61,52,0,484,7,554,78,99,1038,529,55,116,700,128,887,117,121,105,14,0,45
530330014003,172,175,48,149,11,0,0,320,27,19,274,235,555,429,501,142,127,0,623,222,726,278,191,1349,593,32,144,769,277,1031,256,173,60,35,0,31
530330014004,96,243,164,84,9,10,0,410,57,0,353,196,606,261,826,229,106,0,818,93,734,107,44,1552,718,55,140,913,236,1402,116,256,150,0,0,84
530330015001,160,181,73,81,0,14,0,324,28,55,241,185,509,112,589,167,0,0,589,40,576,8,39,1165,412,116,62,590,297,1126,222,207,36,14,6,24
530330015002,208,263,65,38,24,0,0,284,18,7,259,314,598,135,695,237,58,0,564,54,669,34,40,1233,539,47,102,688,166,1135,156,254,129,27,0,32
530330016001,154,155,108,103,19,9,0,367,0,0,367,181,548,214,587,285,29,0,704,33,685,83,71,1389,537,50,55,642,303,1289,63,285,145,47,0,8
530330016002,131,277,54,67,8,0,0,339,36,10,293,198,537,106,627,308,91,7,575,60,640,82,11,1215,484,76,67,627,174,1106,109,271,117,6,17,17
530330016003,232,249,116,43,31,11,0,393,57,53,283,289,682,349,721,158,133,18,903,108,604,177,267,1507,624,115,176,915,279,1089,275,288,64,10,0,45
530330017011,407,279,95,78,40,0,0,349,12,74,263,550,899,794,696,49,281,33,954,209,883,154,357,1837,856,147,288,1291,298,1166,480,199,41,29,0,150
530330017012,245,188,63,28,0,0,0,181,0,37,144,343,524,254,427,158,13,39,443,10,489,106,20,932,391,92,74,557,93,860,207,178,28,8,11,92
530330017013,195,140,164,35,8,14,0,273,11,28,234,283,556,373,571,126,231,66,557,123,729,139,149,1286,469,131,178,778,216,840,263,186,27,14,17,49
530330017021,378,234,141,45,0,0,0,282,66,19,197,516,798,783,452,151,57,29,764,232,759,48,160,1523,526,118,336,980,137,1277,348,151,76,8,47,168
530330017022,281,189,61,5,0,0,0,155,27,8,120,381,536,273,374,167,39,11,459,17,419,59,92,878,345,29,160,534,64,736,291,166,20,0,0,59
530330017023,110,175,29,159,0,0,0,288,83,8,197,185,473,341,638,146,296,0,641,30,723,233,77,1364,389,62,208,659,239,991,161,250,55,0,0,7
530330017024,60,128,31,39,0,9,0,113,6,0,107,154,267,272,220,72,60,22,302,28,341,41,58,643,327,0,40,367,79,503,93,107,25,0,19,23
530330018001,166,279,137,72,0,0,53,311,57,28,226,396,707,996,618,106,146,9,768,383,1163,277,351,1931,846,262,309,1417,211,1425,283,347,57,20,0,0
530330018002,192,290,132,19,33,0,0,268,49,31,188,398,666,731,517,19,159,0,654,14,807,82,187,1461,705,66,198,969,194,1115,293,175,162,0,0,36
530330018003,279,331,144,86,12,0,0,409,40,0,369,443,852,657,809,115,330,0,912,178,913,274,121,1825,887,40,315,1242,244,1374,400,347,68,8,0,29
530330019001,613,357,125,62,9,16,0,384,53,45,286,798,1182,773,806,315,419,117,1123,175,1093,348,151,2216,513,113,312,938,322,1529,619,266,35,0,0,262
530330019002,172,162,91,46,53,9,0,261,29,13,219,272,533,467,629,55,101,37,662,77,704,242,126,1366,660,157,109,926,215,1102,178,195,78,0,56,26
530330019003,153,177,75,17,22,0,16,240,50,24,166,220,460,287,527,184,307,0,641,0,500,59,72,1141,524,90,69,683,143,762,186,169,38,15,16,36
530330020001,277,313,139,83,8,0,0,369,40,41,288,451,820,625,645,241,147,0,852,67,898,166,120,1750,709,191,152,1052,239,1483,296,280,86,10,33,115
530330020002,173,187,43,50,16,10,0,237,37,0,200,242,479,243,515,124,97,0,560,12,489,73,42,1049,468,113,77,658,167,910,218,187,46,9,0,19
530330020003,70,111,50,60,8,8,0,210,15,7,188,97,307,176,375,61,55,6,417,25,384,37,61,801,296,87,78,461,189,679,94,164,25,16,0,8
530330021001,159,245,94,109,40,0,12,459,44,10,405,200,659,354,883,136,219,77,837,52,912,98,55,1749,785,115,117,1017,376,1398,256,243,94,47,0,19
530330021002,163,131,51,44,12,0,0,179,24,8,147,222,401,187,402,120,100,9,389,27,470,113,71,859,369,51,59,479,150,679,186,171,44,0,0,0
530330021003,209,202,172,47,33,0,0,352,71,8,273,311,663,478,632,209,342,0,799,91,741,182,110,1540,628,122,196,946,221,1088,271,264,82,10,9,27
530330022001,52,254,166,50,48,0,0,423,29,38,356,147,570,366,704,190,186,5,698,59,855,134,141,1553,585,118,222,925,293,1221,155,299,102,0,14,0
530330022002,66,203,172,65,22,16,0,450,29,20,401,94,544,271,626,259,67,0,779,170,719,83,148,1498,461,126,135,722,342,1283,113,344,74,0,0,13
530330022003,149,169,75,134,12,0,0,390,59,0,331,149,539,83,668,238,197,0,749,57,581,19,118,1330,471,95,50,616,341,1015,170,247,67,17,0,38
530330022004,123,209,74,97,15,0,0,362,33,0,329,156,518,128,551,289,91,0,633,0,608,19,61,1241,371,91,30,492,273,1089,98,331,61,0,0,28
530330024001,98,158,36,71,27,0,0,270,35,0,235,120,390,134,448,121,29,7,491,31,457,0,37,948,337,95,30,462,245,875,133,182,51,9,7,8
530330024002,114,121,85,33,8,0,0,217,57,41,119,144,361,172,427,95,179,0,419,10,382,36,48,801,392,16,135,543,107,574,174,51,79,7,21,29
530330024003,136,133,111,90,18,8,0,310,33,31,246,186,496,224,572,149,52,10,647,71,598,41,178,1245,464,95,132,691,300,1005,259,197,32,0,8,0
530330025001,135,236,134,88,0,9,0,372,41,0,331,230,602,299,731,147,46,19,871,36,590,61,98,1461,511,219,147,877,284,1298,268,254,58,13,0,9
530330025002,251,157,124,111,21,0,0,335,23,16,296,329,664,342,666,173,75,7,713,43,807,11,113,1520,523,140,172,835,339,1325,260,219,100,8,0,77
530330026001,153,174,69,101,8,13,0,274,12,0,262,244,518,395,488,141,121,19,577,39,692,117,85,1269,506,146,187,839,245,1044,253,172,78,6,0,9
530330026002,66,212,51,122,24,0,0,317,19,10,288,158,475,289,634,106,105,24,625,31,680,62,83,1305,503,85,93,681,276,1093,89,288,82,16,0,0
530330026003,167,142,119,96,18,20,0,330,41,26,263,232,562,504,547,120,107,48,632,20,827,182,142,1459,416,153,258,827,288,1162,206,273,0,20,0,63
530330026004,82,133,72,44,21,12,0,213,11,0,202,151,364,264,429,94,85,15,457,32,499,49,40,956,281,164,112,557,169,816,122,133,68,5,0,36
530330027001,122,228,165,140,32,0,27,424,70,0,354,290,714,809,685,134,65,0,1195,11,903,170,203,2098,599,207,415,1221,470,1830,321,254,97,14,0,28
530330027002,110,163,168,81,0,0,13,373,32,40,301,162,535,393,671,169,116,81,761,140,666,125,146,1427,541,129,84,754,194,1084,271,150,79,22,13,0
530330027003,180,121,72,61,54,0,0,209,14,18,177,279,488,411,568,88,391,14,386,118,840,85,110,1226,530,86,200,816,159,711,167,222,24,27,0,48
530330027004,221,176,100,85,0,0,0,314,62,0,252,268,582,352,575,150,99,18,691,12,585,31,30,1276,526,121,171,818,199,1129,186,250,41,48,0,57
530330028001,83,166,50,76,6,0,0,263,63,11,189,118,381,215,429,84,44,5,541,69,398,5,3,939,268,201,87,556,211,887,201,125,44,0,0,11
530330028002,119,181,44,63,36,0,0,214,0,0,214,229,443,579,327,60,44,0,716,14,375,69,0,1091,415,104,255,774,125,1047,172,99,101,14,0,57
530330028003,256,139,85,56,5,0,0,194,24,20,150,347,541,249,558,144,109,68,482,0,610,58,56,1092,415,187,76,678,141,859,274,161,79,0,0,27
530330028004,222,127,186,102,30,0,0,429,51,0,378,238,667,327,861,35,0,82,814,93,791,201,133,1605,425,245,223,893,382,1390,296,250,27,0,0,94
530330029001,208,187,148,117,0,0,0,384,52,0,332,276,660,267,723,174,129,0,687,42,830,81,78,1517,415,157,203,775,353,1310,303,281,47,0,0,29
530330029002,168,193,165,120,0,0,0,365,12,0,353,281,646,362,762,96,35,0,862,40,690,75,59,1552,586,257,140,983,332,1458,259,217,130,9,11,20
530330029003,194,209,105,44,20,0,0,294,38,25,231,278,572,316,638,91,18,0,599,0,635,172,66,1234,588,154,108,850,189,1150,216,310,17,7,0,22
530330030001,221,268,40,100,19,9,0,398,43,0,355,259,657,203,751,146,111,18,738,45,708,104,110,1446,536,156,58,750,346,1207,242,318,84,0,0,13
530330030002,170,193,34,158,51,0,0,314,10,11,293,292,606,479,598,142,68,0,764,142,834,130,185,1598,501,327,182,1010,379,1345,171,276,53,38,37,31
530330030003,207,174,83,94,23,0,0,342,79,36,227,239,581,163,692,101,43,0,771,47,564,26,129,1335,551,47,77,675,379,1163,306,169,42,0,0,64
530330030004,167,230,130,49,14,0,0,266,0,0,266,324,590,480,567,80,12,18,595,55,745,56,0,1340,559,107,283,949,213,1310,200,279,52,44,0,15
530330031001,119,230,54,58,0,0,0,324,13,0,311,137,461,127,567,110,0,0,486,68,490,47,8,976,449,107,85,641,172,968,151,198,62,18,0,32
530330031002,222,143,52,38,26,0,0,242,22,0,220,239,481,140,497,110,19,0,446,74,509,82,0,955,355,75,42,472,208,936,229,210,15,14,13,0
530330031003,144,200,128,86,0,0,0,314,45,14,255,244,558,266,600,148,62,0,750,160,545,62,0,1295,585,15,183,783,281,1233,196,255,65,0,15,27
530330031004,77,208,146,128,61,0,0,470,85,0,385,150,620,317,858,112,17,0,1011,0,789,48,130,1800,594,211,121,926,513,1653,156,407,41,0,0,16
530330031005,107,216,89,57,14,0,7,282,15,29,238,208,490,178,667,147,80,42,563,113,634,53,21,1197,422,102,161,685,205,1054,138,200,88,42,0,22
530330032001,199,139,63,28,13,8,0,195,15,16,164,255,450,394,344,48,14,0,407,21,506,66,82,913,396,136,110,642,127,817,265,126,21,0,0,38
530330032002,478,212,93,57,0,0,0,240,39,0,201,600,840,598,636,79,65,0,624,67,837,113,151,1461,510,219,240,969,148,1245,469,180,32,24,0,135
530330032003,227,236,67,56,0,0,0,148,12,0,136,438,586,420,389,184,142,13,598,91,546,0,96,1144,381,125,158,664,151,893,339,157,18,19,0,53
530330032004,373,165,66,29,0,0,4,216,12,0,204,421,637,220,524,198,45,0,552,105,502,80,87,1054,327,246,108,681,112,922,334,202,17,4,23,57
530330032005,77,67,77,33,0,7,0,170,39,0,131,91,261,249,258,37,22,0,361,58,272,23,25,633,223,122,50,395,89,586,88,125,0,20,7,21
530330032006,245,171,184,61,79,0,0,469,9,105,355,271,740,299,717,372,12,0,855,153,953,117,122,1808,482,249,163,894,420,1674,238,369,24,42,0,67
530330032007,46,221,61,129,0,0,0,345,49,0,296,112,457,284,588,127,42,0,533,0,687,23,10,1220,566,159,19,744,221,1168,83,205,113,0,56,0
530330033001,169,169,143,140,11,0,0,384,19,17,348,248,632,365,831,77,41,18,732,58,863,134,129,1595,703,126,93,922,322,1407,264,230,91,0,0,47
530330033002,145,183,75,34,0,0,0,188,0,0,188,249,437,332,316,129,68,0,349,0,546,84,24,895,289,122,105,516,118,803,185,138,86,11,0,17
530330033003,236,552,168,23,26,0,0,489,74,13,402,516,1005,1069,720,70,31,49,1124,180,996,313,271,2120,909,430,326,1665,261,1769,404,486,34,0,0,81
530330033004,281,272,87,0,0,0,0,297,27,48,222,343,640,487,408,133,127,11,626,36,474,95,0,1100,481,140,196,817,72,962,271,213,60,0,0,96
530330033005,178,195,25,54,0,0,0,221,12,9,200,231,452,186,461,73,46,0,423,15,439,0,59,862,374,165,80,619,142,757,208,182,12,0,0,50
530330034001,148,179,67,73,18,0,12,283,33,20,230,214,497,302,536,84,62,25,584,29,613,88,126,1197,366,166,91,623,275,984,187,235,47,20,0,8
530330034002,129,281,61,82,20,0,0,382,18,11,353,191,573,261,708,43,53,0,739,19,571,30,63,1310,511,226,64,801,298,1194,248,279,35,0,0,11
530330034003,110,147,111,41,17,10,0,306,41,29,236,130,436,266,448,144,46,0,606,40,474,32,76,1080,367,169,101,637,222,958,166,162,68,28,0,12
530330035001,273,183,84,89,16,0,0,323,0,9,314,322,645,401,602,137,89,15,673,74,655,47,120,1328,549,232,120,901,188,1104,299,229,69,5,0,43
530330035002,247,218,108,77,15,0,0,332,23,0,309,333,665,358,691,96,80,0,768,42,644,56,133,1412,503,120,239,862,267,1199,326,249,53,0,0,37
530330035003,202,178,57,78,16,0,0,242,54,0,188,289,531,270,497,231,29,9,620,123,600,81,178,1220,358,202,92,652,222,1004,174,203,65,11,7,71
530330036001,377,252,23,79,25,0,0,84,28,11,45,672,756,1069,221,77,104,32,807,54,659,111,190,1466,496,279,451,1226,99,1140,431,102,73,15,12,123
530330036002,313,379,31,49,0,0,0,183,27,0,156,589,772,703,473,127,266,29,394,156,1014,146,208,1408,498,200,233,931,105,905,266,219,43,0,0,244
530330036003,185,231,21,120,0,0,0,204,11,0,193,353,557,262,556,186,150,0,660,52,551,90,13,1211,286,234,176,696,207,1048,169,257,49,0,0,82
530330036004,523,442,112,48,0,0,0,262,42,14,206,863,1125,1142,465,274,248,16,1053,76,984,31,86,2037,798,145,355,1298,156,1687,618,250,54,79,0,124
530330038001,177,121,88,48,35,16,0,257,60,0,197,228,485,309,476,165,53,22,547,64,654,61,40,1201,356,120,89,565,251,1086,212,161,48,4,12,48
530330038002,115,82,68,76,23,7,0,227,14,0,213,144,371,235,384,135,205,36,470,52,494,82,30,964,318,96,120,534,210,693,132,173,38,19,0,9
530330039001,178,215,152,128,52,34,0,506,78,0,428,253,759,524,758,217,132,0,1090,96,999,47,60,2089,652,229,102,983,590,1897,281,279,99,60,0,40
530330039002,77,169,68,79,9,0,0,293,7,24,262,109,402,111,520,189,182,0,540,0,451,51,86,991,464,93,16,573,171,723,122,180,74,26,0,0
530330040001,463,318,82,32,50,0,0,407,65,7,335,538,945,517,828,202,217,247,942,108,1012,92,177,1954,671,95,215,981,407,1313,445,276,62,0,0,162
530330040002,34,104,85,123,15,16,0,343,32,24,287,34,377,169,487,156,119,0,701,0,470,12,10,1171,374,173,36,583,359,1042,42,192,125,10,0,8
530330041001,188,245,35,78,31,0,0,302,15,0,287,275,577,416,575,87,382,0,637,52,647,29,12,1284,357,195,159,711,206,890,280,233,64,0,0,0
530330041002,43,160,122,105,112,28,0,527,29,47,451,43,570,256,786,324,204,2,888,60,1046,42,130,1934,658,89,77,824,568,1598,85,305,151,16,0,13
530330041003,14,178,127,88,55,15,0,425,0,18,407,52,477,157,619,254,60,0,684,0,790,0,35,1474,500,176,11,687,444,1379,30,274,141,32,0,0
530330041004,157,281,31,119,0,0,0,341,68,0,273,247,588,301,657,143,213,0,651,19,675,17,162,1326,608,68,31,707,225,951,216,280,15,46,0,31
530330041005,64,145,123,54,15,0,0,323,48,0,275,78,401,218,426,131,48,0,562,0,468,122,47,1030,305,121,107,533,255,935,107,217,48,0,0,29
530330041006,18,182,0,27,24,36,0,242,0,14,228,45,287,14,320,207,0,0,427,0,393,0,0,820,225,41,0,266,279,820,0,142,96,31,0,18
530330042001,286,220,127,114,14,0,0,463,45,0,418,298,761,220,615,444,223,17,878,85,769,46,49,1647,451,159,97,707,368,1358,218,371,105,18,0,49
530330042002,142,164,87,195,28,0,0,405,49,0,356,211,616,417,771,128,131,130,996,51,727,65,283,1723,640,116,117,873,407,1179,249,269,41,43,0,14
530330042003,267,264,94,71,15,0,0,376,53,14,309,335,711,552,526,329,237,0,770,106,773,19,80,1543,447,443,149,1039,136,1226,400,210,56,15,15,15
530330042004,109,123,131,209,20,0,0,403,29,14,360,189,592,260,779,100,14,0,884,22,843,0,20,1727,719,127,154,1000,588,1693,169,345,58,0,0,20
530330042005,93,199,69,115,69,0,0,391,0,0,391,154,545,353,740,79,18,2,920,49,616,36,127,1536,476,357,131,964,364,1389,149,320,37,0,39,0
530330043011,136,95,46,110,23,0,0,144,22,0,122,266,410,608,235,52,403,27,702,39,383,63,204,1085,113,134,261,508,190,451,173,86,18,0,0,133
530330043012,128,207,56,98,0,0,0,271,31,0,240,218,489,329,480,119,100,19,589,13,543,48,24,1132,461,149,98,708,204,989,165,238,27,33,0,26
530330043013,145,151,95,102,0,0,19,281,30,0,251,231,512,304,523,242,43,0,686,13,645,43,223,1331,473,116,55,644,262,1065,134,260,22,14,5,77
530330043021,318,120,65,32,0,14,17,107,26,15,66,459,566,1538,232,46,256,22,695,83,1199,136,260,1894,279,334,210,823,78,1356,76,122,8,39,8,313
530330043022,458,291,26,51,48,0,0,104,19,0,85,770,874,1320,157,304,722,59,858,58,951,198,59,1809,250,285,171,706,28,969,407,86,0,0,0,381
530330044001,123,130,53,97,23,0,0,244,43,16,185,182,426,459,351,54,134,37,499,34,597,52,27,1096,306,148,166,620,232,898,139,206,24,0,0,57
530330044002,322,298,97,40,0,3,0,255,0,0,255,505,760,654,528,127,65,82,751,57,667,58,42,1418,392,357,302,1051,109,1229,334,198,22,0,0,206
530330044003,92,133,70,20,0,0,164,37,0,0,37,442,479,2336,211,203,249,95,1367,109,1383,193,133,2750,652,689,404,1745,0,2273,89,77,77,19,145,72
530330044004,296,341,58,0,22,0,0,108,16,39,53,609,717,1046,218,44,296,17,619,217,724,100,132,1343,326,332,291,949,35,898,333,53,48,11,0,272
530330045001,103,111,52,45,25,0,8,139,17,10,112,205,344,508,308,54,112,10,424,76,508,63,125,932,246,117,167,530,62,685,143,116,54,0,17,14
530330045002,106,235,137,94,30,48,21,361,44,0,317,310,671,877,856,110,231,36,929,38,1191,157,78,2120,602,434,408,1444,277,1775,221,289,45,85,0,31
530330046001,108,220,73,54,9,0,0,250,41,16,193,214,464,397,423,145,90,0,541,49,544,81,25,1085,407,188,112,707,120,970,196,208,39,12,0,9
530330046002,159,261,71,94,9,0,0,338,32,16,290,256,594,434,530,132,106,18,678,13,657,69,64,1335,551,121,148,820,239,1147,221,253,72,8,6,34
530330046003,38,109,125,69,21,0,0,286,68,9,209,76,362,181,517,54,15,0,543,99,501,59,102,1044,377,141,81,599,292,927,83,214,37,13,0,15
530330047001,267,155,137,80,25,0,0,274,27,30,217,390,664,413,609,89,106,163,790,111,670,29,176,1460,401,177,182,760,349,1015,253,268,0,0,0,143
530330047002,346,468,51,13,0,0,0,160,0,0,160,718,878,1225,308,0,98,0,742,86,814,171,86,1556,690,331,409,1430,23,1372,587,199,0,0,0,92
530330047003,617,724,126,27,0,0,0,603,23,0,580,891,1494,1256,889,252,197,23,1391,121,1196,104,76,2587,1005,311,346,1662,190,2291,695,594,0,0,23,182
530330047004,1119,686,81,0,0,0,0,535,77,32,426,1351,1886,1230,905,556,264,0,1296,138,1496,181,188,2792,1299,325,357,1981,101,2340,1002,374,0,0,0,510
530330048001,77,205,99,45,13,0,0,259,0,0,259,180,439,306,511,111,16,0,499,33,555,20,30,1054,368,239,112,719,126,1008,141,220,78,0,0,0
530330048002,160,294,94,58,0,0,0,260,15,0,245,346,606,512,542,134,48,48,626,0,677,159,81,1303,528,79,276,883,115,1126,270,196,112,0,0,28
530330048003,201,303,16,45,12,0,0,220,31,27,162,357,577,658,288,44,52,0,584,41,536,237,46,1120,585,107,133,825,130,1022,299,145,120,13,0,0
530330048004,136,150,75,72,60,0,0,226,0,0,226,267,493,538,513,10,60,0,626,44,669,119,41,1295,442,265,193,900,234,1194,157,217,91,13,0,15
530330049001,292,189,41,17,0,0,0,189,13,25,151,350,539,251,446,220,49,0,515,46,463,90,48,978,468,71,170,709,61,881,327,140,0,0,0,72
530330049002,375,249,19,87,14,0,0,162,0,31,131,582,744,1158,218,15,114,33,883,55,534,150,178,1417,555,239,353,1147,26,1092,432,105,50,19,14,124
530330049003,308,299,33,35,0,0,0,191,30,14,147,484,675,708,387,0,70,0,678,62,507,46,48,1185,533,211,317,1061,90,1067,439,128,30,15,0,63
530330049004,316,263,82,70,25,0,0,272,0,47,225,484,756,703,624,40,20,0,844,23,699,121,87,1543,406,207,501,1114,176,1436,409,211,51,0,0,85
530330049005,441,267,45,160,0,0,0,294,9,0,285,619,913,1102,369,85,128,30,763,108,1037,30,250,1800,810,74,393,1277,244,1392,378,243,56,14,0,222
530330050001,241,236,116,75,11,0,0,265,24,0,241,414,679,599,619,75,94,0,716,18,762,92,74,1478,552,195,277,1024,185,1310,244,273,29,9,0,124
530330050002,167,228,35,10,0,0,0,219,53,17,149,221,440,285,348,36,52,0,410,10,358,59,0,768,294,93,198,585,99,716,204,168,20,0,0,48
530330050003,340,280,107,39,5,0,0,213,68,0,145,558,771,731,340,230,75,49,783,58,666,101,75,1449,540,184,203,927,148,1250,346,252,34,0,10,129
530330051001,212,293,107,48,5,0,0,347,35,90,222,318,665,472,595,136,94,0,624,130,754,157,180,1378,557,191,179,927,175,1104,302,230,29,16,0,88
530330051002,165,121,127,90,8,0,0,306,18,41,247,205,511,214,660,110,26,0,613,18,602,51,61,1215,406,189,91,686,231,1128,210,209,53,28,11,0
530330051003,130,181,46,63,35,9,0,273,28,0,245,191,464,231,563,84,92,12,603,106,530,12,72,1133,381,233,116,730,255,957,204,184,37,9,0,30
530330052001,105,140,154,0,0,0,0,36,0,36,0,363,399,848,88,0,271,81,482,48,454,184,135,936,196,155,230,581,0,449,166,44,14,0,0,175
530330052002,423,180,76,28,57,0,0,57,0,24,33,707,764,1306,167,70,974,6,589,54,975,203,93,1564,250,239,247,736,21,491,262,70,12,0,0,420
530330052003,239,246,29,24,0,0,10,234,18,33,183,314,548,513,422,36,142,17,431,33,638,0,67,1069,332,300,105,737,98,843,326,178,29,0,0,15
530330052004,152,74,72,102,92,0,49,266,0,0,266,275,541,834,673,95,139,0,687,161,1275,211,143,1962,491,463,307,1261,360,1680,140,205,55,77,0,64
530330052005,306,197,84,26,0,0,0,156,44,0,112,457,613,603,245,157,401,0,771,0,342,0,104,1113,205,96,153,454,108,608,461,14,0,0,0,138
530330053011,116,106,75,0,0,0,53,66,31,0,35,284,350,3253,131,10,569,80,2025,212,1414,159,453,3439,391,694,294,1379,45,2337,82,56,13,0,53,146
530330053012,675,298,82,12,9,0,0,123,40,21,62,953,1076,1439,296,111,691,21,1033,247,857,125,389,1890,155,281,285,721,44,789,300,105,0,0,15,656
