gis_id,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper
63,0.77679,0.81413,0.96364,0.771,0.604,0.37497,0.742333334,0.918895,0.697,0.468
64,0.77679,0.81413,0.96364,0.771,0.604,0.37497,0.742333334,0.918895,0.697,0.468
65,0.429936667,0.518276667,0.94808,0.912,0.554,0.37497,0.742333334,0.918895,0.697,0.468
66,0.71604,0.761426667,0.95653,0.839,0.649,0.37497,0.742333334,0.918895,0.697,0.468
67,0.71604,0.761426667,0.95653,0.839,0.649,0.37497,0.742333334,0.918895,0.697,0.468
68,0.71604,0.761426667,0.95653,0.839,0.649,0.37497,0.742333334,0.918895,0.697,0.468
69,0.681476667,0.72335,0.96182,0.872,0.684,0.413886667,0.788928334,0.927905,0.7855,0.509
70,0.681476667,0.72335,0.96182,0.872,0.684,0.413886667,0.788928334,0.927905,0.7855,0.509
71,0.681476667,0.72335,0.96182,0.872,0.684,0.413886667,0.788928334,0.927905,0.7855,0.509
72,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503
73,0.681476667,0.72335,0.96182,0.872,0.684,0.3413,0.738875,0.92555,0.78,0.503
74,0.499683333,0.513266667,0.95666,0.799,0.553,0.3413,0.738875,0.92555,0.78,0.503
75,0.87187,0.898563333,0.96306,0.862,0.62,0.413886667,0.788928334,0.927905,0.7855,0.509
76,0.87187,0.898563333,0.96306,0.862,0.62,0.413886667,0.788928334,0.927905,0.7855,0.509
77,0.87187,0.898563333,0.96306,0.862,0.62,0.413886667,0.788928334,0.927905,0.7855,0.509
78,0.606036667,0.623083333,0.95428,0.828,0.603,0.3413,0.738875,0.92555,0.78,0.503
79,0.84615,0.882263333,0.96324,0.836,0.683,0.413886667,0.788928334,0.927905,0.7855,0.509
80,0.84615,0.882263333,0.96324,0.836,0.683,0.413886667,0.788928334,0.927905,0.7855,0.509
81,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515
82,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515
83,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515
84,0.87187,0.898563333,0.96306,0.862,0.62,0.621576667,0.835910834,0.936555,0.7535,0.515
85,0.87187,0.898563333,0.96306,0.862,0.62,0.621576667,0.835910834,0.936555,0.7535,0.515
86,0.87187,0.898563333,0.96306,0.862,0.62,0.621576667,0.835910834,0.936555,0.7535,0.515
87,0.87187,0.898563333,0.96306,0.862,0.62,0.621576667,0.835910834,0.936555,0.7535,0.515
88,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
89,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
90,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
91,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
92,0.71604,0.761426667,0.95653,0.839,0.649,0.58182,0.801770834,0.930605,0.668,0.471
93,0.71604,0.761426667,0.95653,0.839,0.649,0.58182,0.801770834,0.930605,0.668,0.471
94,0.71604,0.761426667,0.95653,0.839,0.649,0.58182,0.801770834,0.930605,0.668,0.471
95,0.66498,0.769086667,0.96017,0.897,0.674,0.58182,0.801770834,0.930605,0.668,0.471
96,0.71604,0.761426667,0.95653,0.839,0.649,0.58182,0.801770834,0.930605,0.668,0.471
97,0.66498,0.769086667,0.96017,0.897,0.674,0.58182,0.801770834,0.930605,0.668,0.471
98,0.66498,0.769086667,0.96017,0.897,0.674,0.58182,0.801770834,0.930605,0.668,0.471
99,0.66498,0.769086667,0.96017,0.897,0.674,0.405745,0.778870834,0.9311,0.654,0.443
100,0.66498,0.769086667,0.96017,0.897,0.674,0.405745,0.778870834,0.9311,0.654,0.443
101,0.77679,0.81413,0.96364,0.771,0.604,0.405745,0.778870834,0.9311,0.654,0.443
102,0.77679,0.81413,0.96364,0.771,0.604,0.405745,0.778870834,0.9311,0.654,0.443
103,0.77679,0.81413,0.96364,0.771,0.604,0.405745,0.778870834,0.9311,0.654,0.443
104,0.77679,0.81413,0.96364,0.771,0.604,0.405745,0.778870834,0.9311,0.654,0.443
105,0.84479,0.889573333,0.96052,0.841,0.633,0.405745,0.778870834,0.9311,0.654,0.443
106,0.84479,0.889573333,0.96052,0.841,0.633,0.405745,0.778870834,0.9311,0.654,0.443
107,0.84479,0.889573333,0.96052,0.841,0.633,0.405745,0.778870834,0.9311,0.654,0.443
108,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
109,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
110,0.84479,0.889573333,0.96052,0.841,0.633,0.405745,0.778870834,0.9311,0.654,0.443
111,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
112,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
113,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
114,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
115,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
116,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
117,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
118,0.77679,0.81413,0.96364,0.771,0.604,0.405745,0.778870834,0.9311,0.654,0.443
119,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295
120,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
121,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
122,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
123,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295
124,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295
125,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295
126,0.863196667,0.909223333,0.96129,0.899,0.649,0.613686667,0.862800834,0.93905,0.763,0.5575
127,0.863196667,0.909223333,0.96129,0.899,0.649,0.613686667,0.862800834,0.93905,0.763,0.5575
128,0.863196667,0.909223333,0.96129,0.899,0.649,0.613686667,0.862800834,0.93905,0.763,0.5575
129,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
130,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
131,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
132,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
133,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
134,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
135,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515
136,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515
137,0.612296667,0.651266667,0.95573,0.87,0.553,0.621576667,0.835910834,0.936555,0.7535,0.515
138,0.84615,0.882263333,0.96324,0.836,0.683,0.621576667,0.835910834,0.936555,0.7535,0.515
139,0.612296667,0.651266667,0.95573,0.87,0.553,0.621576667,0.835910834,0.936555,0.7535,0.515
140,0.612296667,0.651266667,0.95573,0.87,0.553,0.621576667,0.835910834,0.936555,0.7535,0.515
141,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
142,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
143,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
144,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
145,0.612296667,0.651266667,0.95573,0.87,0.553,0.621576667,0.835910834,0.936555,0.7535,0.515
146,0.612296667,0.651266667,0.95573,0.87,0.553,0.621576667,0.835910834,0.936555,0.7535,0.515
147,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
148,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
149,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
150,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
151,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
152,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
153,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
154,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
155,0.84699,0.922686667,0.96633,0.806,0.589,0.621576667,0.835910834,0.936555,0.7535,0.515
156,0.625,0.630253333,0.95744,0.877,0.689,0.621576667,0.835910834,0.936555,0.7535,0.515
157,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
158,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
159,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
160,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
161,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
162,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
163,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
164,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295
165,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
166,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
