id,name,type,category,new
socio_status, Socioeconomic well-being,neighborhood,Equity
fam_friendliness, Family friendly housing,neighborhood,Housing
connectivity, Connectivity,neighborhood,Mobility
infrastructure, Mobility infrastructure,neighborhood,Mobility
elem, Elementary school well-being,neighborhood,Education
upper, Upper school well-being,neighborhood,Education
health, Public health,neighborhood,Health
dev, Development,neighborhood,Development
seattle_libraries,Libraries,poi,,
seattle_ps_elem,Public Elementary Schools,schools,,
seattle_ps_ms,Public Middle Schools,schools,,
seattle_ps_high,Public High Schools,schools,,
summer_learning,Summer Learning Centres ,poi,,
LightRail,Light rail link stations,poi,,
