OBJECTID,ID,name,TERMINAL_NUMBER,lat,long,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
158013773,224,S Kenmore & 24th St S,31061,38.848454,-77.084918,YES,NO,,,NO,6,5,392628.5628703,131186.73644678,
158013774,225,13th St & Eastern Ave,32006,38.987,-77.029417,YES,NO,,,NO,0,15,397451.3679179,146563.48846577,
158013775,226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,YES,NO,,,NO,5,14,394484.96152307,137849.68097811,
158013776,227,S George Mason Dr & 13th St S,31062,38.854691,-77.100555,YES,NO,,,NO,3,8,391271.93225753,131880.46618931,
158013777,228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,YES,NO,,,NO,5,18,393936.42688566,143014.87282821,
158013778,229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,YES,NO,,,NO,10,9,396672.97197532,137809.82841168,
158013779,230,15th & Euclid St  NW,31117,38.92333,-77.0352,YES,NO,,,NO,0,14,396947.61465,139495.71246314,
158013780,231,8th & East Capitol St NE,31629,38.889988,-76.995193,YES,NO,,,NO,4,7,400417.03628136,135793.90119809,
158013781,232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,YES,NO,,,NO,0,14,398467.59465205,138310.70186081,
158013782,233,15th & East Capitol St NE,31630,38.889908,-76.983326,YES,NO,,,NO,0,11,401446.57181554,135785.14170208,
158013783,234,8th & F St NE,31631,38.897274,-76.994749,YES,NO,,,NO,0,15,400455.50943968,136602.70680593,
158013784,235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,YES,NO,,,NO,6,9,401827.51926549,139913.2820472,
158013785,236,15th & F St NE,31632,38.897195,-76.983575,YES,NO,,,NO,3,15,401424.82399465,136594.05225642,
158013786,237,12th & Irving St NE,31511,38.928644,-76.990955,YES,NO,,,NO,5,10,400784.28320356,140085.0622346,
158013787,239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,YES,NO,,,NO,8,3,400053.12949919,130602.51954593,
158013788,240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,YES,NO,,,NO,8,3,400864.66651397,132897.63895866,
158013789,241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,YES,NO,,,NO,5,10,401109.30924373,137319.66124122,
158013790,242,12th & U St NW,31268,38.916787,-77.028139,YES,NO,,,NO,0,30,397559.68883751,138769.17197864,
158013791,243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,YES,NO,,,NO,0,10,390883.88955688,131609.71253131,
158013792,244,S Stafford & 34th St S,31064,38.834108,-77.087323,YES,NO,,,NO,3,8,392418.26989469,129594.42903651,
158013793,245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,YES,NO,,,NO,4,6,392541.48161705,134766.91705858,
158013794,246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,YES,NO,,,NO,6,4,393724.23923893,133273.6172133,
158013795,247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,YES,NO,,,NO,2,13,399830.38573816,135504.16169424,
158013796,248,8th & D St NW,31270,38.894851,-77.02324,YES,NO,,,NO,13,0,397983.92709424,136333.97809506,
158013797,249,3rd & Elm St NW,31118,38.917622,-77.01597,YES,NO,,,NO,1,14,398615.04270249,138861.60900002,
158013798,250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,YES,NO,,,NO,2,17,399588.4183945,138920.6660217,
158013799,251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,YES,NO,,,NO,19,0,398792.6549073,136047.85718073,
158013800,252,Washington & Independence Ave SW/HHS,31272,38.886978,-77.013769,YES,NO,,,NO,29,0,398805.40570038,135459.84686256,
158013801,253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,YES,NO,,,NO,8,7,397764.90711108,135497.14874174,
158013802,254,Hamlin & 7th St NE,31514,38.927497,-76.997194,YES,NO,,,NO,3,12,400243.30946072,139957.7002703,
158013803,255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,YES,NO,,,NO,4,8,392484.11792553,132743.63730167,
158013804,256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,YES,NO,,,NO,5,10,390319.53509636,132062.29229881,
158013805,257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,YES,NO,,,NO,6,5,390636.1213437,133782.8595827,
158013806,258,Fenton St & New York Ave,32001,38.985404,-77.023082,YES,NO,,,NO,2,13,398000.17527578,146386.15892257,
158013807,259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,YES,NO,,,NO,8,11,391558.50228853,145912.95751583,
158013808,260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,YES,NO,,,NO,2,9,392010.75030162,146216.09966891,
158013809,261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,YES,NO,,,NO,5,14,383332.89363763,158715.52157619,
158013810,262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,YES,NO,,,NO,7,12,382482.01381244,158436.61187288,
158013811,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,YES,NO,,,NO,1,10,391636.2322207,146740.89768535,
158013812,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,YES,NO,,,NO,3,12,386910.31438669,157355.87132814,
158013813,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,YES,NO,,,NO,0,11,391507.26098283,146849.60289105,
158013814,266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,YES,NO,,,NO,4,7,387438.06215384,158536.96474703,
158013815,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,YES,NO,,,NO,5,9,399017.79198301,145928.16270611,
158013816,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,YES,NO,,,NO,7,11,399453.20125046,146188.66055368,
158013817,269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,YES,NO,,,NO,4,15,397472.19246231,147474.87366525,
158013818,270,Montgomery & East Ln,32013,38.983525,-77.095367,YES,NO,,,NO,2,9,391737.18561936,146181.63464028,
158013819,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,3,16,392546.66110808,143765.03951761,
158013820,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,1,14,397234.81559,139245.17181709,
158013821,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,18,0,399791.74179325,134131.220022,
158013822,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,0,19,397773.74796634,139168.73911509,
158013823,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,3,12,400480.02354886,134322.94186107,
158013824,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,2,12,386424.52768958,161344.27440776,
158013825,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,6,9,383736.53425668,159054.82333901,
158013826,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,7,7,387094.43314867,157305.3907351,
158013827,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,4,11,386388.43917458,161729.3311025,
158013828,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,2,13,397457.28862708,146924.15777926,
158013829,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,12,3,386847.10375582,159974.10023058,
158013830,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,8,7,392029.57027544,146062.66507911,
158013831,283,Garland Ave & Walden Rd,32022,39.000578,-77.00149,YES,NO,,,NO,5,10,399870.93387652,148070.37306511,
158013832,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,4,17,386241.41121024,158637.64923132,
158013833,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,0,11,397933.4145005,146865.73881136,
158013834,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,4,11,399028.62364911,145231.02061742,
158013835,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,3,12,399439.20704805,145556.57211519,
158013836,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,0,15,391327.8386053,147164.51103503,
158013837,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,2,9,391315.93174708,146971.81066443,
158013838,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,4,7,391803.8534602,145467.55036065,
158013839,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,7,8,382672.5405711,159359.37466242,
