block_group,occupied_housing_units,perc_owner,perc_family,avg_occupancy
5.30E+11,1160,0.270689655,0.188793103,1.625
5.30E+11,1046,0.156787763,0.019120459,1.193116635
5.30E+11,1242,0.20531401,0.082930757,1.450080515
5.30E+11,1075,0.208372093,0.140465116,1.497674419
5.30E+11,846,0.230496454,0.294326241,1.567375887
5.30E+11,1042,0.187140115,0.335892514,1.60268714
5.30E+11,1229,0.123677787,0.167615948,1.474369406
5.30E+11,713,0.237026648,0.249649369,1.699859748
5.30E+11,552,0.414855072,0.34057971,2.041666667
5.30E+11,734,0.341961853,0.321525886,1.938692098
5.30E+11,713,0.279102384,0.249649369,1.542776999
5.30E+11,471,0.59447983,0.501061571,2.530785563
5.30E+11,419,0.918854415,0.622911695,1.935560859
5.30E+11,486,0.606995885,0.701646091,2.744855967
5.30E+11,884,0.330316742,0.28959276,1.82918552
5.30E+11,506,0.85770751,0.691699605,2.191699605
5.30E+11,679,0.808541973,0.648011782,2.54197349
5.30E+11,504,0.517857143,0.619047619,2.561507937
5.30E+11,484,0.824380165,0.729338843,2.659090909
5.30E+11,507,0.627218935,0.522682446,2.863905325
5.30E+11,458,0.218340611,0.521834061,2.246724891
5.30E+11,442,0.389140271,0.174208145,1.701357466
5.30E+11,831,0.21179302,0.140794224,1.496991576
5.30E+11,867,0.250288351,0.129181084,1.420991926
5.30E+11,993,0.49244713,0.208459215,1.379657603
5.30E+11,741,0.159244265,0.218623482,1.38731444
5.30E+11,657,0.182648402,0.318112633,1.631659056
5.30E+11,965,0.302590674,0.352331606,1.398963731
5.30E+11,625,0.088,0.3088,1.6352
5.30E+11,1286,0.207620529,0.223172628,1.328926905
5.30E+11,977,0.175025589,0.149437052,1.398157625
5.30E+11,1201,0.150707744,0.363030808,1.54704413
5.30E+11,421,0.190023753,0.109263658,1.218527316
5.30E+11,856,0.286214953,0.269859813,1.362149533
5.30E+11,847,0.127508855,0.260920897,1.423848878
5.30E+11,967,0.039296794,0.179937952,1.589451913
5.30E+11,743,0.275908479,0.263795424,1.339165545
5.30E+11,883,0.310305776,0.23216308,1.344280861
5.30E+11,1092,0.157509158,0.138278388,1.292124542
5.30E+11,1041,0.051873199,0.136407301,1.264169068
5.30E+11,1024,0.118164063,0.202148438,1.336914063
5.30E+11,913,0.168674699,0.213581599,1.464403067
5.30E+11,852,0.13028169,0.261737089,1.444835681
5.30E+11,633,0.123222749,0.222748815,1.497630332
5.30E+11,390,0.041025641,0.207692308,1.256410256
5.30E+11,711,0.210970464,0.160337553,1.848101266
5.30E+11,656,0.283536585,0.18597561,1.553353659
5.30E+11,503,0.065606362,0.250497018,1.616302187
5.30E+11,645,0.386046512,0.370542636,2.297674419
5.30E+11,469,0.262260128,0.36673774,2.373134328
5.30E+11,692,0.414739884,0.393063584,2.024566474
5.30E+11,561,0.639928699,0.504456328,2.374331551
5.30E+11,531,0.534839925,0.444444444,2.593220339
5.30E+11,402,0.28358209,0.604477612,2.338308458
5.30E+11,626,0.490415335,0.407348243,1.948881789
5.30E+11,446,0.67264574,0.668161435,2.470852018
5.30E+11,571,0.439579685,0.490367776,2.04028021
5.30E+11,415,0.346987952,0.515662651,2.089156627
5.30E+11,691,0.409551375,0.409551375,1.84804631
5.30E+11,1051,0.193149382,0.284490961,1.775451951
5.30E+11,489,0.055214724,0.552147239,2.54805726
5.30E+11,932,0.074034335,0.211373391,1.35944206
5.30E+11,958,0.053235908,0.196242171,1.388308977
5.30E+11,776,0.032216495,0.135309278,1.359536082
5.30E+11,455,0.397802198,0.362637363,1.859340659
5.30E+11,149,0.590604027,0.261744966,1.577181208
5.30E+11,465,0.619354839,0.488172043,2.464516129
5.30E+11,532,0.248120301,0.415413534,1.921052632
5.30E+11,775,0.467096774,0.498064516,2.04516129
5.30E+11,387,0.80878553,0.777777778,2.488372093
5.30E+11,303,0.297029703,0.577557756,2.518151815
5.30E+11,530,0.250943396,0.60754717,2.220754717
5.30E+11,705,0.818439716,0.70070922,2.329078014
5.30E+11,986,0.546653144,0.467545639,2.5
5.30E+11,488,0.977459016,0.477459016,2.325819672
5.30E+11,398,0.505025126,0.658291457,2.087939698
5.30E+11,223,0.937219731,0.708520179,2.412556054
5.30E+11,739,0.326116373,0.378890392,1.847090663
5.30E+11,610,0.447540984,0.544262295,1.93442623
5.30E+11,448,0.537946429,0.408482143,1.957589286
5.30E+11,707,0.59688826,0.451202263,1.729844413
5.30E+11,971,0.470648816,0.489186406,1.842430484
5.30E+11,518,0.32046332,0.498069498,1.859073359
5.30E+11,652,0.418711656,0.369631902,1.848159509
5.30E+11,785,0.8,0.56433121,2.184713376
5.30E+11,591,0.851099831,0.774957699,2.869712352
5.30E+11,388,0.93814433,0.75,2.427835052
5.30E+11,288,0.961805556,0.809027778,2.114583333
5.30E+11,384,0.9296875,0.768229167,2.606770833
5.30E+11,590,0.669491525,0.430508475,2.071186441
5.30E+11,526,0.490494297,0.595057034,2.051330798
5.30E+11,590,0.83220339,0.681355932,2.46779661
5.30E+11,552,0.844202899,0.77173913,2.757246377
5.30E+11,690,0.684057971,0.507246377,2.031884058
5.30E+11,668,0.414670659,0.480538922,1.94760479
5.30E+11,541,0.73012939,0.493530499,1.946395564
5.30E+11,738,0.696476965,0.39701897,1.814363144
5.30E+11,838,0.377088305,0.480906921,1.940334129
5.30E+11,493,0.555780933,0.427991886,1.945233266
5.30E+11,360,0.547222222,0.463888889,2.611111111
5.30E+11,561,0.623885918,0.750445633,2.386809269
5.30E+11,597,0.381909548,0.773869347,2.860971524
5.30E+11,391,0.565217391,0.795396419,2.690537084
5.30E+11,613,0.300163132,0.347471452,2.538336052
5.30E+11,328,0.762195122,0.780487805,2.807926829
5.30E+11,438,0.378995434,0.442922374,2.105022831
5.30E+11,465,0.75483871,0.503225806,2.298924731
5.30E+11,432,0.673611111,0.386574074,2.108796296
5.30E+11,412,0.5,0.796116505,3.184466019
5.30E+11,686,0.403790087,0.300291545,1.88483965
5.30E+11,801,0.588014981,0.621722846,2.242197253
5.30E+11,594,0.750841751,0.641414141,2.335016835
5.30E+11,440,0.909090909,0.609090909,2.193181818
5.30E+11,366,0.691256831,0.617486339,2.745901639
5.30E+11,502,0.737051793,0.482071713,2.029880478
5.30E+11,439,0.806378132,0.560364465,2.143507973
5.30E+11,487,0.726899384,0.607802875,2.887063655
5.30E+11,340,0.455882353,0.6,2.979411765
5.30E+11,471,0.329087049,0.475583864,2.21656051
5.30E+11,808,0.28960396,0.426980198,1.815594059
5.30E+11,516,0.717054264,0.474806202,2.703488372
5.30E+11,538,0.726765799,0.737918216,3.104089219
5.30E+11,346,0.968208092,0.846820809,3.445086705
5.30E+11,354,0.59039548,0.81920904,3.076271186
5.30E+11,424,0.66745283,0.547169811,2.594339623
5.30E+11,367,0.61852861,0.730245232,3.054495913
5.30E+11,438,0.586757991,0.726027397,3.187214612
5.30E+11,501,0.19760479,0.161676647,1.345309381
5.30E+11,657,0.474885845,0.383561644,1.908675799
5.30E+11,494,0.807692308,0.759109312,2.398785425
5.30E+11,1078,0.185528757,0.277365492,1.625231911
5.30E+11,747,0.526104418,0.50334672,1.850066934
5.30E+11,638,0.833855799,0.755485893,2.55799373
5.30E+11,543,0.425414365,0.526703499,2.053406998
5.30E+11,766,0.545691906,0.451697128,1.852480418
5.30E+11,462,0.512987013,0.525974026,1.993506494
5.30E+11,707,0.859971711,0.653465347,2.414427157
5.30E+11,455,0.604395604,0.61978022,2.336263736
5.30E+11,949,0.319283456,0.5943098,2.58061117
5.30E+11,482,0.62033195,0.566390041,2.232365145
5.30E+11,483,0.639751553,0.699792961,2.645962733
5.30E+11,564,0.193262411,0.744680851,3.070921986
5.30E+11,418,0.267942584,0.653110048,2.887559809
5.30E+11,516,0.624031008,0.65503876,2.310077519
5.30E+11,502,0.585657371,0.513944223,2.61752988
5.30E+11,701,0.643366619,0.660485021,2.62339515
5.30E+11,357,0.420168067,0.285714286,1.753501401
5.30E+11,240,0.391666667,0.220833333,1.475
5.30E+11,391,0.465473146,0.603580563,2.739130435
5.30E+11,390,0.166666667,0.217948718,1.851282051
5.30E+11,861,0.358885017,0.777003484,3.213704994
5.30E+11,292,0.636986301,0.921232877,3.808219178
5.30E+11,627,0.448165869,0.829346093,3.599681021
5.30E+11,359,0.6545961,0.64902507,2.771587744
5.30E+11,408,0.18627451,0.455882353,2.151960784
5.30E+11,564,0.429078014,0.44858156,2.34751773
5.30E+11,331,0.610271903,0.821752266,3.49244713
5.30E+11,440,0.754545455,0.772727273,3.029545455
5.30E+11,392,0.93877551,0.757653061,2.339285714
5.30E+11,433,0.482678984,0.561200924,2.852193995
5.30E+11,372,0.314516129,0.658602151,2.758064516
5.30E+11,284,0.60915493,0.834507042,3.552816901
5.30E+11,460,0.519565217,0.584782609,2.62826087
5.30E+11,373,0.482573727,0.466487936,1.90616622
5.30E+11,616,0.313311688,0.574675325,3.233766234
5.30E+11,1380,0.179710145,0.367391304,1.750724638
5.30E+11,351,0.777777778,0.643874644,2.740740741
5.30E+11,291,0.635738832,0.577319588,2.621993127
5.30E+11,514,0.677042802,0.696498054,2.955252918
5.30E+11,414,0.536231884,0.574879227,2.538647343
5.30E+11,632,0.21835443,0.539556962,2.205696203
5.30E+11,489,0.441717791,0.525562372,2.018404908
5.30E+11,557,0.732495512,0.615798923,2.631956912
5.30E+11,559,0.457960644,0.567084079,2.23255814
5.30E+11,551,0.372050817,0.606170599,2.430127042
5.30E+11,765,0.368627451,0.550326797,2.145098039
5.30E+11,533,0.842401501,0.61163227,2.499061914
5.30E+11,629,0.718600954,0.553259141,2.104928458
5.30E+11,783,0.530012771,0.510855683,1.877394636
5.30E+11,580,0.720689655,0.54137931,2.029310345
5.30E+11,543,0.644567219,0.591160221,1.994475138
5.30E+11,606,0.808580858,0.600660066,2.193069307
5.30E+11,380,0.681578947,0.731578947,2.642105263
5.30E+11,432,0.703703704,0.539351852,2.099537037
5.30E+11,447,0.637583893,0.44966443,2.015659955
5.30E+11,442,0.470588235,0.626696833,2.728506787
5.30E+11,422,0.808056872,0.68957346,2.966824645
5.30E+11,509,0.754420432,0.809430255,3.247544204
5.30E+11,327,0.935779817,0.877675841,2.899082569
5.30E+11,389,0.706940874,0.419023136,1.63496144
5.30E+11,272,0.786764706,0.669117647,2.345588235
5.30E+11,299,0.665551839,0.632107023,3
5.30E+11,619,0.276252019,0.373182553,2.064620355
5.30E+11,447,0.785234899,0.836689038,3.337807606
5.30E+11,756,0.075396825,0.862433862,3.260582011
5.30E+11,627,0.787878788,0.677830941,2.555023923
5.30E+11,535,0.76635514,0.603738318,2.523364486
5.30E+11,455,0.494505495,0.589010989,3.103296703
5.30E+11,465,0.591397849,0.744086022,3.309677419
5.30E+11,444,0.675675676,0.608108108,2.387387387
5.30E+11,506,0.731225296,0.476284585,2.02173913
5.30E+11,443,0.832957111,0.616252822,2.584650113
5.30E+11,507,0.822485207,0.65877712,2.42209073
5.30E+11,497,0.845070423,0.633802817,2.088531187
5.30E+11,680,0.885294118,0.726470588,2.555882353
5.30E+11,578,0.742214533,0.669550173,2.368512111
5.30E+11,510,0.501960784,0.356862745,1.61372549
5.30E+11,527,0.220113852,0.639468691,2.316888046
5.30E+11,279,0.254480287,0.76702509,3.229390681
5.30E+11,620.5343035,0.461208066,0,0
