neighborhood,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,health_inverse,dev,population_total,population_female_perc,population_male_perc,perc_under18,perc_19to34,perc_35to64,perc_over65,num_units,num_permits,total_value_permits,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper,public_health,farmers_market,parks,food_banks,occupied_housing_units,perc_owner,perc_family,avg_occupancy,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,median_house_value
3.2,33,200,6,-0.49781084,-0.443669226,-0.52693356,-0.444768655,0.21057312,-0.440011579,0.507413749,-0.507413749,-0.167890652,1055,0.482744707,0.517255293,0.056511574,0.277669015,0.59714293,0.068676481,40,475,271170932,0.641409842,0.599595003,0.961759618,0.864408291,0.594168208,0.531274365,0.655191093,0.919885398,0.789841187,0.496502833,3.572180827,3.264781431,0.706051073,0.441915679,597,0.402334504,0.245117734,1.579240756,0.00180573,9.51E-06,52.36295849,15.11720843,44.6540413,54.75991654,46.25141665,0.013314455,16.74858335,50.36862508,0.031575072,0.274359139,0.158278304,44344.41398,32637.98539,0.028187016,2.233408291,311368.0288
3.3,33,300,1,-0.834635412,0.868875388,-0.358571555,0.30633443,0.545623455,0.101533586,0.017052206,-0.017052206,-0.128384188,2832,0.35201701,0.64798299,0.100732904,0.320500335,0.457130461,0.1216363,0,927,745946314,0.648409855,0.636932833,0.966663265,0.878383461,0.588067684,0.59534,0.672391667,0.931655,0.805,0.498,3.168539647,3.294673006,1.081501465,1.478030393,1069,0.57540846,0.414136339,2.155357947,0.003086486,1.12E-05,16.02023341,9.20662365,56.69739695,52.4669037,74.15622252,0.018166273,15.2338247,44.03750015,0.033215752,0.602792407,0.211225679,88626.79549,39304.69934,0.045417123,2.119353598,373703.8481
3.4,33,300,2,-2.229067705,2.61146107,0.30449685,-0.026033208,0.074599442,-2.691193717,-0.469729893,0.469729893,-0.247612827,15110,0.489283374,0.510716626,0.260876091,0.210343612,0.401951794,0.126828502,170,622,61118598,0.620708982,0.546847898,0.955954347,0.840965738,0.573987153,0.390185898,0.594512305,0.896025213,0.765421759,0.484551968,3.560307965,3.12398369,0.465866024,0.928788329,4620,0.597975822,0.754788019,3.145084846,0.003054926,1.57E-05,15.24516059,11.94398786,57.68847328,51.05644717,57.81145474,0.022370936,19.28380979,61.71492479,0.042970652,0.918615397,0.198624607,50323.58875,20220.44519,0.049085758,1.404518547,298473.5972
3.5,33,401,1,-1.441970002,2.242981534,0.397641014,0.058812979,0.470685877,0.123582721,-0.473922324,0.473922324,-0.261748245,9929,0.463018081,0.536981919,0.160678415,0.273578336,0.434894409,0.130848841,0,348,67565332,0.591439751,0.595627144,0.961200503,0.863021008,0.592066039,0.59534,0.672391667,0.931655,0.805,0.498,1.827065595,1.525637999,0.384335077,0.896614129,2983,0.687867658,0.712532273,3.048496979,0.003201617,1.40E-05,22.79686964,11.72897144,59.37380298,51.75449153,56.15564355,0.019193335,17.69109816,56.38642036,0.07018325,0.861038384,0.147568169,68801.98997,28149.36372,0.055979748,1.719238418,336357.3965
3.6,33,401,2,-0.988847466,1.100994349,0.25231923,0.537995242,0.32803162,-0.170671701,-0.623471079,0.623471079,-0.146882806,14794,0.513631384,0.486368616,0.175311817,0.256166016,0.438305738,0.130216429,735,755,306228631,0.661088624,0.678581392,0.96257239,0.838419749,0.588086398,0.551493276,0.682044179,0.929999847,0.784344271,0.486953675,2.499636401,2.622073988,0.276930513,0.806122472,5815,0.530990284,0.606749666,2.442507433,0.00428352,1.32E-05,13.6513212,7.530312087,72.32126525,73.33926522,71.50732936,0.022877233,16.66379265,48.61246985,0.058971138,0.703962181,0.136280897,71319.73813,32424.36984,0.020141897,2.055987122,380960.4929
4.1,33,401,3,-1.367079175,1.817567527,0.006610317,-1.178164769,-1.367924492,-2.386414408,0.868955005,-0.868955005,-0.273628251,16837,0.49597706,0.50402294,0.224828909,0.235730448,0.419055135,0.120385509,0,466,55790269,0.478982577,0.473233518,0.944763335,0.713274124,0.554060285,0.350426667,0.557168334,0.89113,0.7665,0.4735,5.976200267,5.762944906,0.630277661,1.466998859,5886,0.609004619,0.651814027,2.776677927,0.002721587,1.49E-05,31.42874005,13.44431678,40.66897741,29.85351656,45.80072797,0.011104823,21.59065337,67.98965916,0.052613983,0.799140343,0.106406135,63556.95416,27162.9066,0.038668942,1.774883007,308369.532
4.2,33,402,1,-0.820821114,0.867826403,-0.109592782,0.272989117,-0.54716835,-0.670210215,-0.630780231,0.630780231,-0.014320283,18223,0.511791079,0.488208921,0.167993886,0.22259185,0.471368598,0.138045666,1636,976,430993831,0.412610127,0.436445407,0.955159448,0.794806383,0.520499707,0.571769969,0.642493046,0.926417491,0.779059487,0.471147829,1.227872454,1.1673052,0.356891754,0.806548933,7084,0.545853295,0.527797601,2.366350047,0.002218371,1.15E-05,14.57557386,11.55653882,78.9810361,56.04476702,56.90195912,0.015007569,20.43179782,56.14298399,0.069209913,0.651121037,0.102376752,63149.49703,35459.0269,0.053316226,2.07015089,380794.4015
4.3,33,402,2,0.065514206,0.921246922,-0.124841394,-0.494861781,-0.093205091,-0.963391774,0.217192412,-0.217192412,-0.261851147,9250,0.524630548,0.475369452,0.19510241,0.178669431,0.454200673,0.172027487,220,441,84611350,0.533597478,0.442119735,0.954097027,0.863579851,0.551058959,0.471378978,0.614072253,0.911143579,0.785513518,0.485599511,2.139963162,1.851302157,0.502634357,1.781913301,3383,0.768095162,0.625408172,2.37150839,0.001783233,1.40E-05,26.60762868,15.34867233,59.45688715,51.41632088,41.85491888,0.015905397,22.99434762,59.25352313,0.075844941,0.374506365,0.058160455,84582.43924,49857.52154,0.031199574,2.59310718,465384.73
4.4,33,402,3,0.436057341,0.486925837,-0.430915926,-0.116275963,-0.443386665,-0.27218068,0.036855002,-0.036855002,-0.067678403,6301,0.526131255,0.473868745,0.194861485,0.168389541,0.503621571,0.133127403,563,429,78366482,0.553989329,0.556446719,0.962028819,0.781272914,0.527641953,0.61139,0.653541667,0.92697,0.723,0.434,2.110306351,2.638782164,0.232230785,1.368588503,2577,0.762460846,0.571511325,2.331725503,0.002448215,9.82E-06,15.58778884,12.47502318,62.85924658,62.45650764,63.73630324,0.014005633,19.72058373,53.88690776,0.047431419,0.324112932,0.062411779,93043.64902,65435.78033,0.037997258,2.75626403,539686.6986
5.1,33,402,4,0.610729199,0.369733349,-0.563322558,-0.156728165,-0.748799921,0.038456653,0.049006639,-0.049006639,-0.062398984,10327,0.505505888,0.494494112,0.202541397,0.180620085,0.45717188,0.159666637,1200,872,246123032,0.54508652,0.534439022,0.947040682,0.787142625,0.515511027,0.351225,0.726131667,0.92244,0.69,0.4365,3.933337464,2.749486742,0.240247036,1.091819784,4231,0.671206799,0.619292675,2.351301523,0.002225036,1.39E-05,38.27982341,18.50901746,71.62226078,65.90431859,54.16493694,0.012318757,20.25491455,57.77923871,0.055371898,0.433092692,0.051691832,130046.5008,75498.77223,0.019526326,2.928953218,677506.4966
