block_group,median_house_value,median_gross_rent,occupied_housing_units,tenure_owner,tenure_renter
530330056004,801500,,426,386,40
530330056005,583300,,500,484,16
530330057001,913500,,194,132,62
530330057002,627500,3063,502,425,77
530330057003,634800,2153,442,276,166
530330057004,555600,1482,430,331,99
530330057005,779100,1233,481,204,277
530330057006,517300,1072,692,369,323
530330058011,550500,1214,569,257,312
530330058012,,1315,808,225,583
530330058013,450000,1368,592,292,300
530330058014,438200,1098,644,272,372
530330058021,602400,1158,779,384,395
530330058022,407500,1329,1133,368,765
530330058023,496400,1315,789,254,535
530330059001,503600,1286,792,339,453
530330059002,665600,1239,577,370,207
530330059003,,,242,115,127
530330059004,840700,1702,590,401,189
530330059005,667800,1193,457,296,161
530330060001,355600,1614,841,344,497
530330060002,670300,2381,597,367,230
530330060003,714600,,443,406,37
530330060004,408800,1438,611,192,419
530330061001,624000,1713,653,385,268
530330061002,780400,1449,525,262,263
530330061003,730100,1210,905,205,700
530330061004,524100,1261,842,251,591
530330062001,752100,1455,597,391,206
530330062002,743200,1075,610,574,36
530330062003,905000,1750,387,317,70
530330063001,780400,1500,817,249,568
530330063002,1062500,1431,602,433,169
530330063003,1117000,1171,535,369,166
530330063004,1301500,,524,467,57
530330064001,646600,2471,454,359,95
530330064002,1115600,1693,393,323,70
530330064003,924300,1773,441,317,124
530330065001,986400,2214,540,436,104
530330065002,507000,1468,1002,312,690
530330065003,995000,1290,892,299,593
530330066001,448100,1416,1001,125,876
530330066002,501300,1452,1166,289,877
530330067001,350500,1658,1394,343,1051
530330067002,432100,1377,1178,288,890
530330067003,428600,1389,720,208,512
530330067004,615000,1555,962,465,497
530330068001,790300,1281,561,334,227
530330068002,734600,1462,833,320,513
530330069001,734200,1401,506,345,161
530330069002,892500,1201,560,351,209
530330069003,898100,1360,514,230,284
530330069004,590500,1393,606,239,367
530330070001,,993,700,323,377
530330070002,345400,1012,976,270,706
530330070003,460000,1115,1183,190,993
530330070004,606200,1228,650,215,435
530330070005,292100,1036,768,113,655
530330070006,,1019,839,278,561
530330071001,361100,1361,1029,200,829
530330071002,236600,1533,1461,265,1196
530330072001,373100,1338,2514,515,1999
530330072002,,1408,1030,0,1030
530330072003,,1382,1292,70,1222
530330073001,,1533,1530,0,1530
530330073002,656300,824,1137,129,1008
530330073003,444800,2113,1094,310,784
530330074011,385600,1180,885,183,702
530330074012,260300,1299,974,89,885
530330074013,225700,1384,929,329,600
530330074014,250600,1301,723,217,506
530330074021,331600,1325,1160,314,846
530330074022,237500,1013,1046,164,882
530330074023,266300,1021,1242,255,987
530330075001,599000,1024,1075,224,851
530330075002,541700,1337,846,195,651
530330075003,408800,1172,1042,195,847
530330075004,240700,1573,1229,152,1077
530330075005,781300,1536,713,169,544
530330076001,538600,1379,552,229,323
530330076002,454300,1506,734,251,483
530330076003,455400,1200,713,199,514
530330077001,476800,1184,471,280,191
530330077002,449300,,419,385,34
530330077003,391600,,486,295,191
530330077004,388400,1188,884,292,592
530330078001,989900,2292,506,434,72
530330078002,700100,1792,679,549,130
530330078003,633900,1230,504,261,243
530330078004,722700,2173,484,399,85
530330079001,439100,1815,507,318,189
530330079002,460000,1351,458,100,358
530330079003,287500,1341,442,172,270
530330079004,319600,829,831,176,655
530330079005,364300,1065,867,217,650
530330080011,380400,888,993,489,504
530330080012,231700,616,741,118,623
530330080013,426600,1627,657,120,537
530330080014,474100,1688,965,292,673
530330080015,,1798,625,55,570
530330080021,526800,565,1286,267,1019
530330080022,355900,1290,977,171,806
530330081001,453600,1860,1201,181,1020
530330081002,557700,,421,80,341
530330081003,670600,668,856,245,611
530330082001,1093800,1214,847,108,739
530330082002,,1395,967,38,929
530330082003,313800,995,743,205,538
530330083001,311400,991,883,274,609
530330083002,323000,1249,1092,172,920
530330084001,274000,967,1041,54,987
530330084002,1017500,1193,1024,121,903
530330084003,350500,918,913,154,759
530330085001,237500,1059,852,111,741
530330085002,326400,873,633,78,555
530330085003,,276,390,16,374
530330086001,390000,1441,711,150,561
530330086002,417400,1362,656,186,470
530330086003,,800,503,33,470
530330087001,460200,1222,645,249,396
530330087002,389100,1158,469,123,346
530330087003,373500,894,692,287,405
530330088001,539600,1478,561,359,202
530330088002,444500,1355,531,284,247
530330088003,483300,1318,402,114,288
530330089001,699000,1318,626,307,319
530330089002,561700,,446,300,146
530330089003,420600,,571,251,320
530330089004,367300,1508,415,144,271
530330090001,259000,1112,691,283,408
530330090002,368000,1005,1051,203,848
530330091001,253100,721,489,27,462
530330091002,250900,608,932,69,863
530330092001,308900,773,958,51,907
530330092002,541700,783,776,25,751
530330093001,239300,1085,455,181,274
530330093002,448800,1924,149,88,61
530330093003,382100,1063,465,288,177
530330094001,289300,362,532,132,400
530330094002,389300,813,775,362,413
530330094003,364200,,387,313,74
530330094004,363000,1072,303,90,213
530330094005,350000,921,530,133,397
530330095001,633700,1161,705,577,128
530330095002,345900,656,986,539,447
530330095003,602500,,488,477,11
530330095004,499000,926,398,201,197
530330096001,565100,,223,209,14
530330096002,440900,1092,739,241,498
530330096003,688800,1497,610,273,337
530330096004,532200,1588,448,241,207
530330096005,743700,1439,707,422,285
530330097011,611500,1120,971,457,514
530330097012,596200,1174,518,166,352
530330097013,499000,1322,652,273,379
530330097014,662500,1202,785,628,157
530330097021,428900,1979,591,503,88
530330097022,434800,,388,364,24
530330097023,427600,,288,277,11
530330097024,485000,,384,357,27
530330097025,523400,1712,590,395,195
530330098001,490100,776,526,258,268
530330098002,449000,,590,491,99
530330098003,527400,,552,466,86
530330098004,379100,1202,690,472,218
530330098005,427200,994,668,277,391
530330099001,447400,1027,541,395,146
530330099002,308400,1159,738,514,224
530330099003,261600,1115,838,316,522
530330099004,325000,1193,493,274,219
530330100011,430200,1589,360,197,163
530330100012,356000,868,561,350,211
530330100013,346200,828,597,228,369
530330100021,397300,949,391,221,170
530330100022,414500,1034,613,184,429
530330100023,366100,1847,328,250,78
530330100024,372300,994,438,166,272
530330101001,613100,1435,465,351,114
530330101002,456100,1128,432,291,141
530330101003,382200,770,412,206,206
530330101004,250400,737,686,277,409
530330101005,465300,1076,801,471,330
530330102001,442000,1526,594,446,148
530330102002,590900,1417,440,400,40
530330102003,345700,1179,366,253,113
530330102004,410600,1758,502,370,132
530330103001,397800,1236,439,354,85
530330103002,335800,754,487,354,133
530330103003,278400,997,340,155,185
530330103004,356600,741,471,155,316
530330103005,385800,1011,808,234,574
530330104011,345700,1450,516,370,146
530330104012,382700,1451,538,391,147
530330104013,313900,,346,335,11
530330104021,342100,1500,354,209,145
530330104022,324200,1683,424,283,141
530330104023,307800,975,367,227,140
530330104024,321100,1381,438,257,181
530330105001,303900,1779,501,99,402
530330105002,402400,1152,657,312,345
530330105003,426200,1576,494,399,95
530330105004,319400,1173,1078,200,878
530330105005,393900,1163,747,393,354
530330106001,513900,749,638,532,106
530330106002,360100,890,543,231,312
530330106003,398800,1146,766,418,348
530330106004,479100,1237,462,237,225
530330106005,584800,1243,707,608,99
530330106006,409800,1271,455,275,180
530330107011,287900,958,949,303,646
530330107012,292800,1125,482,299,183
530330107021,334700,1728,483,309,174
530330107022,313800,388,564,109,455
530330107023,309500,683,418,112,306
530330108001,316500,744,516,322,194
530330108002,297200,1699,502,294,208
530330108003,308200,1496,701,451,250
530330109001,284400,805,357,150,207
530330109002,327500,740,240,94,146
530330110011,306200,377,391,182,209
530330110012,282500,1026,390,65,325
530330110013,275800,1005,861,309,552
530330110021,273900,1320,292,186,106
530330110022,347600,778,627,281,346
530330110023,343900,900,359,235,124
530330111011,285700,808,408,76,332
530330111012,283200,1203,564,242,322
530330111013,321300,1208,331,202,129
530330111014,317900,989,440,332,108
530330111021,561900,880,392,368,24
530330111022,431700,813,433,209,224
530330111023,279900,851,372,117,255
530330111024,397700,848,284,173,111
530330112001,208000,677,460,239,221
530330112002,240900,745,373,180,193
530330112003,271100,833,616,193,423
530330113001,423500,977,1380,248,1132
530330113002,269400,,351,273,78
530330113003,260400,1695,291,185,106
530330113004,267000,1055,514,348,166
530330113005,293600,1571,414,222,192
530330114011,330600,1333,632,138,494
530330114012,240500,898,489,216,273
530330114013,292100,1174,557,408,149
530330114021,242400,1079,559,256,303
530330114022,238500,977,551,205,346
530330114023,268800,,765,282,483
530330115001,327300,1080,533,449,84
530330115002,365400,976,629,452,177
530330115003,367700,1134,783,415,368
530330116001,522100,1288,580,418,162
530330116002,426700,1578,543,350,193
530330116003,542500,958,606,490,116
530330116004,534500,1806,380,259,121
530330116005,530700,,432,304,128
530330116006,596200,1217,447,285,162
530330117001,350700,334,442,208,234
530330117002,288500,1267,422,341,81
530330117003,266000,1331,509,384,125
530330117004,265500,,327,306,21
530330118001,503900,1399,389,275,114
530330118002,459600,1016,272,214,58
530330118003,300800,1500,299,199,100
530330118004,302100,723,619,171,448
530330118005,246800,1083,447,351,96
530330118006,341700,863,756,57,699
530330119001,419400,1164,627,494,133
530330119002,274000,967,535,410,125
530330119003,275000,1403,455,225,230
530330119004,220300,1341,465,275,190
530330119005,289600,1883,444,300,144
530330120001,282700,1370,506,370,136
530330120002,349700,1373,443,369,74
530330120003,412700,1679,507,417,90
530330121001,619000,1356,497,420,77
530330121002,374600,1614,680,602,78
530330260011,352300,1576,578,429,149
530330264004,215700,1074,510,256,254
530330264005,225900,970,527,116,411
530330265001,267200,596,279,71,208
530339901000,,,0,0,0
