block_group,median_earning_female,median_earning_male,population_born_total,population_foreign_born,population_foreign_born_perc,,median_earning_lessthanhighschool,median_earning_highschool,median_earning_somecollege,median_earning_bachelor,median_earning_advance
530330059004,42344,74479,1483,116,0.078219825,,-,35893,43634,56744,90550
530330059005,42064,100789,1248,104,0.083333333,,-,35893,43634,56744,90550
530330060001,41845,48705,1444,270,0.186980609,,,,,,
530330060002,39777,72308,1536,171,0.111328125,,,,,,
530330060003,,,1219,69,0.056603774,,,,,,
530330060004,30040,42308,1365,39,0.028571429,,,,,,
530330061001,51667,60208,1330,171,0.128571429,,-,29265,38125,50639,61679
530330061002,42059,51250,1176,47,0.039965986,,-,29265,38125,50639,61679
530330061003,52537,57132,1389,188,0.135349172,,-,29265,38125,50639,61679
530330061004,45331,37730,1324,132,0.099697885,,-,29265,38125,50639,61679
530330062001,42000,74460,1539,119,0.077322937,,,,,,
530330062002,55536,86375,1570,138,0.087898089,,,,,,
530330062003,52875,71389,954,75,0.078616352,,,,,,
530330063001,,,1260,152,0.120634921,,,,,,
530330063002,,,1079,104,0.096385542,,,,,,
530330063003,,,1250,140,0.112,,,,,,
530330063004,,,1399,159,0.113652609,,,,,,
530330064001,58977,95536,1139,120,0.105355575,,23750,90938,56250,77109,86538
530330064002,50379,113472,985,93,0.094416244,,23750,90938,56250,77109,86538
530330064003,44483,103438,1217,74,0.060805259,,23750,90938,56250,77109,86538
530330065001,,,1210,69,0.057024793,,,,,,
530330065002,65372,56250,1734,102,0.058823529,,,,,,
530330065003,46175,77188,1505,167,0.110963455,,,,,,
530330066001,37352,56958,1447,246,0.170006911,,,,,,
530330066002,,,2138,175,0.081852198,,,,,,
530330067001,51827,83609,2400,889,0.370416667,,,,,,
530330067002,40532,61630,1968,317,0.161077236,,,,,,
530330067003,30750,59632,1236,166,0.134304207,,,,,,
530330067004,56172,61111,1996,271,0.135771543,,,,,,
530330068001,60500,91875,1288,114,0.088509317,,-,-,47361,71207,91429
530330068002,49583,91528,1918,240,0.125130344,,-,-,47361,71207,91429
530330069001,57727,77097,1183,16,0.013524937,,,,,,
530330069002,43092,65662,1433,90,0.062805304,,,,,,
530330069003,30592,75038,1035,80,0.077294686,,,,,,
530330069004,60806,63487,1076,73,0.067843866,,,,,,
530330070001,44213,102045,1076,81,0.07527881,,,,,,
530330070002,,,1241,304,0.244963739,,,,,,
530330070003,49063,53750,1743,111,0.063683305,,,,,,
530330070004,51225,58103,887,17,0.019165727,,,,,,
530330070005,30741,35577,1163,128,0.110060189,,,,,,
530330070006,48315,66429,1393,50,0.035893754,,,,,,
530330071001,46552,62831,1512,257,0.169973545,,,,,,
530330071002,51268,78750,2268,513,0.226190476,,,,,,
530330072001,39348,86920,3932,924,0.234994914,,,,,,
530330072002,,,1467,703,0.479209271,,,,,,
