block_group,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,dev
530330013001,33,1300,1,-0.55645473,-0.02799986,-0.50682761,0.280503617,-0.19867907,-0.81563303,-0.320962496,-0.239070158
530330013002,33,1300,2,-0.42467875,0.45020166,-0.88087599,0.199442683,-0.31369222,-0.71556098,-0.299671293,-0.240465672
530330013003,33,1300,3,-0.31956859,-0.28274088,-0.23329094,0.403549651,-0.26705922,-0.83361458,-0.430085709,-0.001872758
530330014001,33,1400,1,-0.2167526,0.38159611,-0.75731056,-0.313869715,-0.26388374,-0.43131648,0.226865824,-0.251978152
530330014002,33,1400,2,-0.35819478,0.56366899,0.4466119,-0.169678506,-0.15750844,-0.54513834,0.068927799,-0.166226054
530330014003,33,1400,3,-0.66105326,0.28186428,0.61473965,-0.019525349,-0.18170261,-0.71973956,-0.019726864,-0.262913623
530330014004,33,1400,4,0.55413908,0.87011044,-0.80869497,-0.904045316,0.86542122,0.34023927,0.71770236,-0.264906005
530330015001,33,1500,1,0.70521414,0.55048554,-0.93956862,-1.662644985,0.71996143,0.56927009,1.398015967,-0.284068
530330015002,33,1500,2,0.91592413,0.39530766,-0.86696394,-1.583453892,0.91365122,0.7246562,1.53487915,-0.281548041
530330016001,33,1600,1,1.29775504,1.07844251,-1.33808139,-1.563804741,0.55098088,0.82257108,1.263244977,-0.285300945
530330016002,33,1600,2,0.53425832,1.12266074,-0.47140468,-1.142238657,0.84536588,0.23782817,0.924468263,-0.27992917
530330016003,33,1600,3,-0.1171831,0.46061071,-0.20386213,-0.412875919,0.7248169,-0.33186782,0.366466404,-0.135578418
530330017011,33,1701,1,-0.23472989,-0.76698165,0.39240073,0.258134379,0.94240518,-0.72536843,-0.181516555,0.046383634
530330017012,33,1701,2,-0.08956995,-0.17281009,-0.49652367,0.310352918,1.08985117,-0.7339709,-0.366189864,-0.108344268
530330017013,33,1701,3,-0.46175469,0.81127675,-0.55422646,0.118703169,-0.31263145,-0.69845148,-0.332443711,-0.261481094
530330017021,33,1702,1,-0.06670728,-0.60220629,-0.22882265,0.08124685,-0.4715172,-0.60730831,-0.215829573,0.044787568
530330017022,33,1702,2,0.07620981,0.18433045,-0.84540081,-0.192058757,0.69396378,-0.32308147,0.15166876,-0.269321257
530330017023,33,1702,3,-0.60908098,0.7992347,-0.62909388,-0.087231383,0.88680653,-0.45426857,-0.070663043,0.009642326
530330017024,33,1702,4,-0.49378957,1.31370908,-0.6522085,-0.144636673,-0.27674294,-0.56003217,-0.204618723,-0.283913891
530330018001,33,1800,1,-0.28816737,0.52778009,1.44140845,0.133928059,0.72263798,-0.33941495,-0.229577254,-0.148918896
530330018002,33,1800,2,0.21426697,-0.99479579,-0.43712006,0.377420177,0.67048338,-0.43490505,-0.223922287,0.421189466
530330018003,33,1800,3,-0.54973739,0.64565048,-0.1651304,0.309276856,0.71517177,-0.69363927,-0.504090436,-0.110182445
530330019001,33,1900,1,-0.43736065,-0.29254791,1.52690939,0.307624784,1.2408319,0.67710811,-0.060443758,-0.179006704
530330019002,33,1900,2,0.19470213,0.4904969,0.7595513,-0.088879998,1.25728151,1.09419936,0.346349394,-0.241787711
530330019003,33,1900,3,-0.14485051,0.89665652,-0.07136874,-0.102058739,1.54668403,0.95662129,0.217426821,-0.279317538
530330020001,33,2000,1,0.41380345,-0.65058974,-0.54824511,-0.321562522,-0.09526337,0.7639384,0.63949476,-0.248054762
530330020002,33,2000,2,0.38100413,-0.09759146,-1.16210113,-0.139039475,1.07933167,0.60251717,0.418261471,-0.272040505
530330020003,33,2000,3,0.7192344,0.43467646,0.40977901,-0.533071037,-0.25234211,0.91196996,0.623738079,-0.291899342
530330021001,33,2100,1,0.69490063,0.78016597,-0.66807347,-0.706636258,1.40050211,1.58883745,0.764092794,-0.262154444
530330021002,33,2100,2,0.14599606,0.13335787,-0.96152931,-0.381631302,1.73618772,1.22528773,0.577599293,-0.280312353
530330021003,33,2100,3,0.28451774,0.06797065,-0.18373072,-0.388082209,1.75452224,1.31145631,0.780214657,0.179649606
530330022001,33,2200,1,0.58268675,1.10668304,-0.2879212,-1.316544955,0.13568913,1.14209411,1.091982522,-0.275584456
530330022002,33,2200,2,0.80258697,1.28420429,-0.28114197,-0.873960859,1.53273603,1.70180193,0.906790844,-0.273393135
530330022003,33,2200,3,1.20982561,0.73750999,-1.21916513,-1.34898437,1.63505464,2.06206585,1.524616304,-0.288089922
530330022004,33,2200,4,1.49982991,0.89020391,0.19269311,-1.103505921,1.78495675,2.83495647,1.613579574,-0.281954362
530330024001,33,2400,1,1.25151087,0.35518845,-0.58246312,-0.97854039,1.52982223,2.77540436,1.259576354,-0.27712358
530330024002,33,2400,2,0.32889357,-0.28825908,-0.52910201,-0.43793253,1.70427453,2.13529703,0.917511067,-0.293996063
530330024003,33,2400,3,0.64139448,0.38422182,1.34514862,-0.640367475,1.32248357,2.45758567,0.812727312,-0.284059197
530330025001,33,2500,1,0.83299765,0.4195499,0.16252856,-0.388227683,1.37994681,2.37093231,0.511940674,-0.27415748
530330025002,33,2500,2,0.71088642,-0.29635129,1.12245301,0.102867172,1.56804084,2.04382453,0.136312626,-0.268054387
530330026001,33,2600,1,0.46462923,-0.11443066,-0.98870196,-0.16835591,1.42474593,2.11892631,0.491305628,-0.275942561
530330026002,33,2600,2,0.82127834,0.36188068,-0.1173735,-0.010168873,0.75342825,2.12624773,0.110339906,-0.217869118
530330026003,33,2600,3,0.42578183,0.17174447,-0.18290457,0.222219122,0.81124059,1.76346537,-0.089706477,1.515411245
530330026004,33,2600,4,0.49153378,0.04898365,-0.30557528,-0.065181521,0.84936774,2.04451202,0.315114515,-0.281772454
530330027001,33,2700,1,0.50367856,-0.4565795,-0.0961769,0.029787007,0.81632637,2.0995199,0.270447749,-0.257468733
530330027002,33,2700,2,0.56201437,1.18070496,-0.6122514,-0.320005685,0.63789026,1.13698239,0.211823602,-0.270880325
530330027003,33,2700,3,0.38028291,0.41966487,0.34647171,-0.134011837,0.61248385,1.08565937,0.074717371,-0.258490246
530330027004,33,2700,4,0.78463018,0.10828877,-0.21809362,0.100093091,0.53922234,0.83359022,-0.115462853,-0.123539172
530330028001,33,2800,1,0.79960291,0.44379146,-0.06507142,0.13717252,1.05266508,0.77306195,-0.239476564,-0.229505837
530330028002,33,2800,2,0.70715611,-0.97481986,-0.70944636,0.234644159,0.46540152,0.7910743,-0.216225412,-0.276915157
530330028003,33,2800,3,0.42526325,-0.36063347,-0.07173123,0.113224538,0.98170607,0.61120992,-0.181154113,-0.264523676
530330028004,33,2800,4,0.29192009,0.33800066,0.21495839,0.163569818,1.03961484,0.59751945,-0.280149843,-0.261354742
530330029001,33,2900,1,0.538873,0.09200405,0.2115565,0.191941406,1.03480469,0.34032745,-0.209611595,-0.063636258
530330029002,33,2900,2,0.83732566,-0.07066745,-0.14135801,0.14354341,0.95026638,0.46818101,-0.246686083,-0.201930986
530330029003,33,2900,3,0.423001,0.08326242,-0.821762586,0.241524723,0.80396833,0.3365366,-0.339783371,-0.26612538
530330030001,33,3000,1,0.47963375,0.6527251,-0.246984556,0.000424514,0.76948148,0.4954678,-0.108886651,-0.26139824
530330030002,33,3000,2,0.301097,0.53274857,-0.361740375,-0.232219413,0.55018483,0.826895,0.133972508,-0.25131937
530330030003,33,3000,3,0.43891351,0.0384704,0.151852267,-0.31015002,0.61848462,0.6870225,0.233866173,0.0413503
530330030004,33,3000,4,0.88126375,-0.61817989,0.341848401,-0.274036634,0.83846952,0.9212751,0.303848046,-0.26603818
530330031001,33,3100,1,0.70746098,0.70709891,-0.005601451,-0.547445486,0.82750149,0.7728806,0.467119705,-0.27343474
530330031002,33,3100,2,0.45596682,0.84163111,0.031503423,-0.656390974,0.82997791,0.7889958,0.58626211,-0.24863172
530330031003,33,3100,3,0.03984929,0.77586102,-0.170813297,-0.370631002,0.68599884,0.5579708,0.133460992,-0.26493857
530330031004,33,3100,4,1.03485773,0.40770021,-0.409781678,-0.919349837,0.54287257,1.2279159,0.765716194,-0.27534203
530330031005,33,3100,5,0.74842508,0.84711531,-0.050938243,-1.412989049,0.85655223,1.4626862,1.259715806,-0.28347582
530330032001,33,3200,1,0.74884249,-0.86842504,1.016627812,-0.470176046,0.56440273,0.8187913,0.555901896,-0.27579044
530330032002,33,3200,2,0.51804783,-1.7307762,-0.342212368,-0.213039786,0.45527856,0.6027181,0.487848197,-0.24528743
530330032003,33,3200,3,0.3610121,-0.76433506,0.338857378,-0.508143887,0.39003942,0.7872637,0.790641032,-0.13335947
530330032004,33,3200,4,0.30150993,-1.20971825,0.183388191,-0.917177898,0.39067027,0.7074293,1.18769301,-0.27979189
530330032005,33,3200,5,0.68139432,0.4204998,0.058565854,-0.786463948,0.50853579,0.8928142,0.753155589,-0.29990869
530330032006,33,3200,6,0.94105567,0.60920866,-0.864539141,-1.763100934,0.65357472,1.540253,1.588946061,-0.26490785
530330032007,33,3200,7,0.90214227,1.07617653,-0.683214255,-1.152764157,0.59398307,1.2422749,0.86482747,-0.2780462
530330033001,33,3300,1,0.57616767,-0.234049,-0.486328433,-0.223728113,0.67752127,0.7445054,0.212239891,-0.26180874
530330033002,33,3300,2,0.49629131,-0.7670459,0.27260396,0.355375038,1.67885414,1.937374,0.043548838,-0.28196391
530330033003,33,3300,3,0.2942058,-0.86817858,-0.62767207,-0.035541796,0.46501141,0.3473817,0.162955687,0.41555413
530330033004,33,3300,4,0.49938966,-0.81668045,-1.091949714,-0.14063568,0.52387885,0.4058175,0.305455371,-0.24717984
530330033005,33,3300,5,0.69623227,-0.56476255,-0.375371887,-0.330554119,0.54010413,0.6490758,0.323823356,-0.28046471
530330034001,33,3400,1,0.57727795,-0.13984224,0.340575278,0.263703512,1.59752884,2.0475815,-0.114012706,-0.27224672
530330034002,33,3400,2,1.17526719,0.13927276,-0.904242631,0.243066677,1.63414729,2.2254557,-0.197035818,-0.26440403
530330034003,33,3400,3,0.88070822,-0.31437409,-0.807858686,0.211313247,1.58667163,2.185726,-0.007899889,-0.27892059
530330035001,33,3500,1,0.62716404,-0.36033297,-0.165864072,0.134544537,1.43241526,2.4174222,-0.217177442,-0.146048
530330035002,33,3500,2,0.98884244,-0.66795864,-0.720591913,-0.057614465,1.3442656,2.6059425,0.106483378,-0.26805026
530330035003,33,3500,3,0.21906063,-0.0403897,-0.01761444,0.042662649,1.4791803,2.4330975,-0.030277148,-0.24556088
530330036001,33,3600,1,0.31515961,-1.81768158,-0.281821544,0.448925566,0.72972447,1.640749,-0.007780638,1.65076368
530330036002,33,3600,2,0.62418867,-1.69130041,-0.803433866,0.172430972,0.58709086,1.8643604,0.287945053,0.25045953
530330036003,33,3600,3,0.58928543,-0.18250502,-0.990267067,0.156813924,0.78310434,1.8834246,0.004853328,-0.2613302
530330036004,33,3600,4,0.40358371,-2.05919524,1.980859163,0.422267961,0.67400483,1.6810038,0.035212176,-0.18697923
530330038001,33,3800,1,0.671976,-0.16517157,0.65833605,-0.100291528,1.50641237,2.1681905,0.429681192,-0.2568493
530330038002,33,3800,2,0.60722966,0.75174602,-0.060844206,-0.154705109,1.53189316,2.2613978,0.257133206,-0.28391573
530330039001,33,3900,1,0.69074208,0.01651941,0.867460685,-0.242031403,1.64606387,2.3166585,0.615018808,-0.25707514
530330039002,33,3900,2,0.81527692,1.11016207,-0.242215505,-0.65930033,1.8317241,2.5241352,0.913800653,-0.28766702
530330040001,33,4000,1,0.47858844,-0.68983879,0.566609531,-1.338645368,0.62157969,2.5774749,1.941223749,-0.17805444
530330040002,33,4000,2,1.58536963,1.01802633,-0.088046976,-1.021436646,1.65295871,3.0354644,1.374299513,-0.28390745
530330041001,33,4100,1,0.93367798,-1.09335808,-0.624355696,-1.314979192,0.50834678,2.7465321,2.025322885,-0.28272765
530330041002,33,4100,2,1.15728875,1.06027782,-0.873904251,-1.338725253,0.55725288,3.0249487,1.636974731,-0.28244314
530330041003,33,4100,3,1.98426677,0.67443098,-0.087165468,-1.401071136,-0.58636252,3.5838822,1.359416026,-0.29840186
530330041004,33,4100,4,0.78522789,-0.41833567,-0.393646553,-0.771348268,-0.62778694,2.6010678,0.930080047,-0.1982139
530330041005,33,4100,5,1.02880597,-0.48106283,-1.100350559,-0.658997449,-0.7033528,2.5351848,0.784429346,-0.28186505
530330041006,33,4100,6,2.23619467,0.25953043,-0.458584865,-1.833407774,-0.52818097,3.8190228,1.74329241,-0.29406539
530330042001,33,4200,1,1.31520759,-0.02949572,0.609152618,-1.131449307,0.27551526,2.7276622,1.354158606,-0.27439776
530330042002,33,4200,2,0.4929161,0.35484249,1.18752629,-0.435380268,0.39006033,2.2631057,0.581954022,-0.27133967
530330042003,33,4200,3,1.08288491,-0.5106708,-0.563331062,-0.037251345,1.02508333,2.1727276,0.335018662,-0.1442047
530330042004,33,4200,4,1.1080743,0.24220938,-0.115699022,-0.144388345,1.37560357,2.4963277,0.334979789,-0.26778132
530330042005,33,4200,5,1.38877383,0.56605624,0.065801513,-0.070127407,1.38414751,2.5208976,0.203454203,-0.26978029
530330043011,33,4301,1,-0.11342376,-0.91303081,-0.869713916,0.386655445,-0.66270994,1.90923,-0.2202914,-0.24137849
530330043012,33,4301,2,1.10366687,-0.23501478,-0.689797023,0.164315306,1.28290915,2.17274,0.006275382,-0.27227333
530330043013,33,4301,3,0.93759772,-0.41130039,-1.017993456,0.328889722,1.21739136,2.0801838,-0.20718956,-0.28263194
530330043021,33,4302,1,-0.0150058,-1.55098524,-0.43357572,0.566965341,-0.6147061,1.73674,-0.468477859,0.10860494
530330043022,33,4302,2,-0.10932321,-2.052987,-0.145232827,0.729749597,-0.6384014,1.6637788,-0.485125338,0.35785188
530330044001,33,4400,1,1.10286079,-1.22841969,-0.652121727,0.367468355,1.10453315,2.0259243,-0.177607321,-0.28307572
530330044002,33,4400,2,0.71085942,-1.43604948,-0.212076894,0.671056829,0.59573607,1.5622794,-0.395205791,0.17970478
530330044003,33,4400,3,-0.15907924,-1.39248246,0.589791299,0.764919589,-0.75526321,2.161208,-0.689207246,-0.20789109
530330044004,33,4400,4,-0.02840525,-1.91816805,0.859770259,1.236377254,0.56029177,1.9034842,-0.932326357,0.61360647
530330045001,33,4500,1,0.07724387,-0.23000203,-0.601366558,0.886702428,0.54181908,2.1600699,-0.848079843,-0.2679272
530330045002,33,4500,2,0.44847125,0.14510416,-0.617812336,0.578759089,0.64262475,2.5144033,-0.60528139,-0.25874756
