gis_id,public_health,farmers_market,parks,food_banks
1,4.41192069,1.26541493,0.274991057,1.081257744
2,4.099964596,1.145474017,0.278490955,0.952923575
3,3.878574389,0.71851159,0.349531136,0.554669
4,4.182554783,1.387122716,0.06189286,1.205557966
5,3.564144312,0.442974172,0.43812255,0.246476128
6,3.722363861,1.049840533,0.413523815,0.898299016
7,2.973677835,0.440548157,0.354952827,0.481182925
8,2.719243629,1.830598735,0.147494829,1.847123374
9,3.130480016,1.359591838,0.670811396,1.320745808
10,2.438993932,1.248767713,0.12084972,1.316794731
11,3.435736687,1.178170662,0.793644164,1.085136439
12,2.723860766,2.594109082,0.738448869,2.619930351
13,2.865604443,3.440451689,0.610362719,3.478710041
14,2.912622756,4.034069168,0.133207343,3.411752148
15,3.166290237,4.650356919,0.605984561,3.326348115
16,2.555683048,4.097759209,0.260350643,2.910706133
17,2.404217661,4.333178327,0.49044784,2.513996796
18,1.381276104,3.756010307,0.707491182,1.785555766
19,1.805859372,4.079581112,0.420233032,1.604012223
20,2.114327155,4.363424651,0.051103402,2.069792452
21,3.328271778,5.343716994,1.039518776,2.939657875
22,2.708814592,4.847404662,0.655496574,2.398662342
23,2.576594073,4.298239744,0.135344588,1.904893326
24,2.142298707,2.955688514,0.86257847,3.028756323
25,1.771688123,1.406332618,0.176776031,1.570065675
26,1.447324871,3.013155031,0.958631954,2.480403063
27,0.70955378,3.05737441,0.704430947,1.943550081
28,1.487091161,2.085833545,0.449739793,2.21195051
29,1.633328594,1.635583822,0.333194828,1.782678685
30,3.269846314,0.347456673,0.160782876,0.438237324
31,2.968221932,0.54592414,0.383717817,0.715540175
32,2.436057621,0.739908724,0.382006364,0.900606499
33,2.253813512,0.943658446,0.085986537,1.134777088
34,3.71775733,0.931916359,0.660868573,0.948879583
35,3.71291559,1.587847653,0.507099749,1.671248307
36,4.198546612,1.563169074,0.682838076,1.566719984
37,4.479928437,2.642108289,0.803488343,2.710972269
38,2.909108241,1.124869437,0.383360362,1.286418259
39,2.914499377,1.708049022,0.23850863,1.869757487
40,2.207472774,1.297819272,0.287037799,1.494318232
41,2.030291581,1.888060908,0.178347213,2.083153565
42,1.475520923,1.93263385,0.270204659,2.126979486
43,1.118613163,2.379659995,0.203764572,2.572551502
44,1.093150326,2.089189111,0.285778834,2.270330123
45,0.650166181,2.530554743,0.302840254,2.341601115
46,0.303752,2.861016974,0.420658784,1.990846509
47,0.409931983,3.069954831,0.339038749,1.365709848
48,0.849774729,3.099035616,0.718863514,0.907713468
49,0.996106247,2.612335272,0.505297956,0.786142588
50,1.633533885,3.676040915,0.823685604,1.200435465
51,1.782904558,3.309241281,0.96052034,0.849111503
52,2.234194183,2.924207816,0.956997392,0.744110498
53,2.789498416,3.429923757,0.622393729,1.413190992
54,4.308565793,3.430574738,0.166563295,1.859909538
55,4.804802653,3.778862336,0.513103899,1.887585757
56,3.370153636,3.492964851,0.077576607,1.86444834
57,3.78031302,3.033434491,0.331952053,1.898363851
58,3.519192911,2.508692955,0.242097993,1.692675607
59,2.289560772,1.656303348,0.337060759,0.85369193
60,1.735266728,2.044403347,0.341031256,0.487555043
61,1.41897452,2.736337723,0.886593977,0.326883726
62,1.847314545,2.436218697,0.470589202,0.152025895
63,2.947004665,1.991836981,0.522843991,1.278048929
64,2.728905454,2.358341614,0.418333258,1.033917994
65,2.222247955,2.339130767,0.388082814,0.526567227
66,1.31713968,2.231963609,0.49089214,1.477577151
67,1.680929517,1.792759812,0.477951743,1.180308799
68,1.461305862,2.070809196,0.403014579,0.825887418
69,0.872456603,3.129057699,0.557697496,2.0565453
70,1.628271943,3.187563442,0.748618771,2.687027548
71,1.490325964,2.60053356,0.906548892,2.157799179
72,2.287096281,3.00240617,0.381057867,3.193777895
73,1.764306647,2.583508972,0.455821157,2.779992416
74,1.99844397,3.031966891,0.515524022,3.161893787
75,3.239470049,2.619582879,0.446391337,2.777035458
76,2.713150941,2.472066264,0.419579204,2.649447769
77,2.924974943,3.033279582,0.679132065,3.209933303
78,3.868361956,2.262932918,0.552666697,2.366907704
79,3.792975733,2.747898885,0.403567161,2.877602427
80,4.379458881,3.268964296,0.228281443,3.381228921
81,5.078240018,3.870796274,0.734610961,3.974023615
82,4.252412711,3.284454611,0.451155748,3.430045116
83,4.435030085,2.982123047,0.636096549,3.111095652
84,3.830376957,2.773276228,0.256559587,2.944281904
85,3.295682706,2.490045091,0.213120547,2.699400883
86,3.754771395,1.697843445,0.298991231,1.898557199
87,2.779977634,2.468075338,0.485219591,2.581380972
88,3.197300973,1.811303423,0.230580397,1.919616556
89,3.57703825,1.346850068,0.356943516,1.47186028
90,2.670939525,2.283879352,0.337983112,2.326217505
91,2.343676743,2.463342013,0.254984119,2.417795005
92,2.194180295,2.21349581,0.350510665,2.07716338
93,2.086213555,1.817564422,0.331660128,1.605698796
94,2.19606038,1.389234867,0.68646264,1.089226006
95,2.535749578,0.94291161,0.843035674,0.462849549
96,2.793379059,0.681312631,0.567514256,0.400089127
97,3.021804504,0.471610623,0.347439608,0.480537884
98,2.216084795,1.291946162,0.48004953,0.722653149
99,2.716551101,1.321137082,0.541522202,0.704614814
100,3.127801936,0.657431378,0.426752365,0.24804813
101,3.286125925,0.975199985,0.073470511,0.62462412
102,3.405385075,1.352742548,0.360192404,0.99413205
103,3.644507261,2.080738273,0.189392179,1.327675353
104,3.84571789,1.593464588,0.526535811,1.128067423
105,4.185099059,2.002024121,0.300832863,0.73742175
106,4.292399234,2.611335629,0.441048485,0.927120172
107,4.73950472,2.96005987,0.660103192,0.82411329
108,4.611898602,2.407634274,0.26169498,0.342936234
109,5.279056318,3.095204985,0.431899178,0.583547664
110,5.280954433,3.619250768,0.277156754,1.292635497
111,5.224771492,2.707960469,0.51872128,0.313759191
112,5.525829985,2.75119181,0.10288422,0.746766546
113,6.048915898,3.103707014,0.301332329,1.318301847
114,6.336848201,3.341425328,0.386185575,1.445521425
115,5.838711863,3.150236011,0.261962524,0.941137355
116,6.175263227,3.726232482,0.416632673,1.291481917
117,5.663249217,3.256962624,0.042511821,0.779294614
118,4.155361868,1.292270186,0.379024946,1.237773357
119,4.39318919,1.231648673,0.697593378,1.466467072
120,4.775153792,1.812884303,0.098319686,0.951771585
121,5.114150799,2.340210303,0.451693813,0.569340114
122,4.677499041,2.053566791,0.149519739,0.494435753
123,4.065097111,0.683261611,0.58789667,1.130412267
124,3.719066,0.570408387,0.552376055,0.785600015
125,4.425225909,0.967832468,0.183599507,1.509603149
126,3.362192051,0.189796557,0.291903862,0.662288603
127,3.765284153,0.408185115,0.543578549,1.052435619
128,4.34872857,0.994187437,0.273135399,1.282720308
129,3.390984448,1.383026057,0.575906812,1.308428576
130,2.858045319,1.926923532,0.299395059,1.79981425
131,3.567291671,1.493708436,0.508715567,1.183758379
132,3.240470355,1.636555366,0.365955395,1.423769607
133,4.289827615,2.136014982,0.802270038,2.272085621
134,4.003648761,1.906468242,0.574622007,2.074349708
135,4.696670933,2.590539996,0.421203275,2.691486703
136,5.20825298,3.042137336,0.182289324,3.108988742
137,6.384586415,4.481191859,0.225236141,4.514434021
