block_group,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,red_lun_avg,median_house_value
5.30E+11,0.143946616,0.069590086,74931,46649,0.029551954,2.651,0.340433333,447200
5.30E+11,0.183520599,0.04619226,88438,42580,0.036204744,3.088,0.315173333,515300
5.30E+11,0.230417381,0.056032018,108487,44613,0.008004574,2.948,0.19165,469800
5.30E+11,0.240977881,0.131548312,70341,38572,0.040745052,2.634,0.19165,354400
5.30E+11,0.352597403,0.118181818,86736,55759,0.036363636,2.746,0.19165,461300
5.30E+11,0.251770766,0.08628461,82167,49652,0.031551835,2.896,0.356543333,484900
5.30E+11,0.257009346,0.05540721,117150,52858,0.034045394,3.038,0.192623333,481600
5.30E+11,0.279699248,0.014285714,160089,78457,0.005263158,3.107,0.192623333,654300
5.30E+11,0.122481869,0.015310234,156250,79011,0.026591459,3.371,0.12744,840400
5.30E+11,0.109704641,0,125714,56929,0.037974684,3.241,0.12744,488600
5.30E+11,0.29588015,0.04494382,79408,46711,0.039950062,2.737,0.12744,379600
5.30E+11,0.249799197,0.032931727,98600,46093,0.027309237,2.84,0.126466667,488800
5.30E+11,0.136208077,0.041752225,113482,50301,0.018480493,2.938,0.126466667,458500
5.30E+11,0.156578947,0.007236842,95735,52186,0.040131579,2.95,0.126466667,455300
5.30E+11,0.208037825,0.092198582,80833,41956,0.014184397,2.77,0.126466667,545200
5.30E+11,0.186206897,0.047509579,126131,48031,0.006896552,3.074,0.146243333,564200
5.30E+11,0.217272104,0.124742975,81855,45247,0.05003427,2.982,0.146243333,553300
5.30E+11,0.179916318,0.05125523,85294,38374,0.0041841,2.819,0.146243333,506900
5.30E+11,0.132983794,0.081029552,92917,36888,0.010009533,2.845,0.146243333,468700
5.30E+11,0.33847232,0.087596356,138194,69313,0.033637001,2.871,0.20028,598200
5.30E+11,0.516313214,0.069331158,132708,70209,0.008156607,2.889,0.20028,592400
5.30E+11,0.12460815,0.024294671,116250,64084,0.007053292,2.956,0.20028,497300
5.30E+11,0.12886049,0.005324814,131205,54134,0.019169329,2.995,0.212943333,495000
5.30E+11,0.053162236,0.06324473,86518,40222,0,3.026,0.20028,464700
5.30E+11,0.213369963,0.053113553,67721,51071,0.019230769,2.775,0.212943333,567500
5.30E+11,0.191900312,0.125233645,95350,44012,0.047975078,2.805,0.212943333,534700
5.30E+11,0.16413975,0.053394858,106146,46361,0.035596572,2.885,0.216926667,451600
5.30E+11,0.086340206,0.048324742,106944,54970,0.014175258,2.971,0.216926667,562500
5.30E+11,0.068071313,0.139384117,96522,58612,0.030794165,2.745,0.188103333,474800
5.30E+11,0.196403873,0.071922545,86151,44806,0.009681881,2.809,0.188103333,490100
5.30E+11,0.24718398,0.08135169,88947,37712,0.010638298,2.638,0.188103333,529400
5.30E+11,0.164044944,0.019475655,73661,38559,0.035205993,2.709,0.188103333,471200
5.30E+11,0.063432836,0.041791045,120388,56358,0.029104478,2.928,0.17989,510000
5.30E+11,0.077868852,0.048155738,110234,57543,0.010245902,2.751,0.17989,523100
5.30E+11,0.097382199,0.085863874,91295,51751,0.060732984,2.688,0.17989,451200
5.30E+11,0.171428571,0.047876448,85560,37736,0.023938224,2.329,0.21384,494000
5.30E+11,0.081666667,0.026666667,111818,47503,0.016666667,3.104,0.21384,537600
5.30E+11,0.213868003,0.04427736,104595,44888,0.041771094,2.874,0.17989,506500
5.30E+11,0.128148959,0.072289157,92333,46305,0.014238773,2.981,0.21384,540500
5.30E+11,0.193702943,0.077344285,76359,50930,0.019849418,2.81,0.21384,454600
