"","block_group","portion","CRA_NO"
"124","530330034002",0.060434553814146,"9.3"
"125","530330034003",0.0742996037162883,"9.3"
"126","530330035001",0.0522309902700786,"9.3"
"127","530330035002",0.108631404636929,"9.3"
"128","530330035003",0.0682458189858857,"9.3"
"129","530330036001",0.144033333307088,"9.4"
"130","530330036002",0.0935025010215884,"9.4"
"131","530330036003",0.183963857423267,"9.4"
"132","530330036004",0.0385199841584907,"9.4"
"133","530330038001",0.0302032960634869,"7.3"
"134","530330038002",0.0372796875308965,"7.3"
"135","530330039001",0.0708740913406789,"7.4"
"136","530330039002",0.0919102606375346,"7.4"
"137","530330040001",0.110338049530043,"7.5"
"138","530330040002",0.0728966693939454,"7.5"
"139","530330041001",0.108848356648241,"7.5"
"140","530330041002",0.202413641715392,"7.5"
"141","530330041003",0.0963583344974157,"7.5"
"142","530330041004",0.103430135100078,"7.5"
"143","530330041005",0.178751671289737,"7.5"
"144","530330041006",0.126963141825148,"7.5"
"145","530330042001",0.0632371212504037,"7.3"
"146","530330042002",0.0433629976117711,"7.3"
"147","530330042003",0.0932473486704354,"7.3"
"148","530330042004",0.0653505775031913,"7.3"
"149","530330042005",0.0587883033907578,"7.3"
"150","530330043011",0.0454553069434405,"7.3"
"151","530330043012",0.0658019406831609,"7.3"
"152","530330043013",0.101548751068331,"7.3"
"153","530330043021",0.0293068863163492,"7.3"
"154","530330043022",0.0260037097741619,"7.3"
"155","530330044001",0.120947248675652,"7.2"
"156","530330044002",0.169962995593052,"7.2"
"157","530330044003",0.0369643180549057,"7.2"
"158","530330044004",0.0362896455575846,"7.2"
"159","530330045001",0.0590069417967978,"11.2"
"160","530330045002",0.0977147409303903,"11.2"
"161","530330046001",0.076622475259452,"9.4"
"162","530330046002",0.0452884501067255,"9.4"
"163","530330046003",0.0436109980387078,"9.4"
"164","530330047001",0.143587340364419,"10.4"
"165","530330047002",0.585055267421121,"10.4"
"166","530330047003",0.0945922556590307,"10.4"
"167","530330047004",0.176765136555429,"10.4"
"168","530330048001",0.0552365664007375,"11.1"
"169","530330048002",0.0544809327602311,"11.1"
"170","530330048003",0.100660383366558,"11.1"
"171","530330048004",0.0995078525245745,"11.1"
"172","530330049001",0.06122704794407,"11.1"
"173","530330049002",0.256120000687399,"11.1"
"174","530330049003",0.0386034020193361,"11.1"
"175","530330049004",0.0331552581992568,"11.1"
"176","530330049005",0.0562763839973474,"11.1"
"177","530330050001",0.127970647393557,"11.2"
"178","530330050002",0.0396412865581439,"11.2"
"179","530330050003",0.110384307426203,"11.2"
"180","530330051001",0.108200364832196,"11.2"
"181","530330051002",0.0472231143793491,"11.2"
"182","530330051003",0.0708897490686533,"11.2"
"183","530330052001",0.0112493071773021,"11.2"
"184","530330052002",0.0500340261390992,"11.2"
"185","530330052003",0.164243716266846,"11.2"
"186","530330052004",0.0844942543065307,"11.2"
"187","530330052005",0.0289475437249312,"11.2"
"188","530330053011",0.139901749196336,"7.2"
"189","530330053012",0.0575325144508671,"7.2"
"190","530330053013",0.0271500852714348,"7.2"
"191","530330053014",0.010469096651021,"7.2"
"192","530330053021",0.0660455089119969,"7.2"
"193","530330053022",0.0673179775577657,"7.2"
"194","530330053023",0.267418860079385,"7.2"
"195","530330054001",0.0272792589432653,"11.1"
"196","530330054002",0.106984834761371,"11.1"
"197","530330054003",0.0650260655697932,"11.1"
"198","530330054004",0.0454420128260597,"11.1"
