County,Submarket,Neighborhood,Status,Units,End construction,Property name,Street number,Street name,City,Zip, Census tract ,Developer,Property ID
Pierce,Pie,Gig Harbor,R,82,Jan-2050,Cottages at Rosedale Village,4117,Rosedale Street NW,Gig Harbor,98335, 725.07 ,Norpoint Communities,6354
Snohomish,Sno,Mill Creek,X,70,Jan-2050,Harmony II,14815,41st Avenue SE,Bothell,98012, 520.03 ,Saeed Abtahi,6355
King,K-N,Greenlake/Wallingford,X,38,Jan-2019,,106 N,36th Street,Seattle,98103, 48.00 ,Rudd Development,6357
King,K-S,Riverton/Tukwila,R,145,Jan-2050,Quail Park Assisted Living,13112,Military Road S,Tukwila,98168, 271.00 ,,6358
King,K-S,Rainier Valley,X,81,Aug-2019,Rainier Central Ph. 1,5256,Rainier Avenue S,Seattle,98118, 103.00 ,PSW Seattle,6359
King,K-S,Rainier Valley,X,87,Aug-2019,Rainier Central Ph. 2,5712,42nd Avenue S,Seattle,98118, 103.00 ,PSW Seattle,6360
King,K-SE,Kent,R,127,Jan-2050,Holiday of Kent Independent Senior Living,25035,104th Avenue SE,Kent,98030, 295.03 ,,6361
Pierce,Pie,Fircrest/University Place,R,114,Jan-2050,Grandview Lodge,2656,Crystal Springs Road W,University Place,98466, 723.09 ,,6362
King,K-C,Capitol Hill/Eastlake,R,79,Jan-2050,,1920,Eastlake Avenue E,Seattle,98102, 66.00 ,,6364
Pierce,Pie,Puyallup/Sumner,T,100,Jan-2050,,12111,104th Avenue E,Puyallup,98374, 712.08 ,Inland Group,6365
King,K-C,Belltown/Dwntn/S Lk Union,X,100,Jan-2050,,731,Westlake Avenue N,Seattle,98109, 72.00 ,Vulcan Northwest,6366
King,K-C,Magnolia,X,93,May-2019,,3008,16th Avenue W,Seattle,98119, 58.02 ,Pastakia & Associates,6367
King,K-S,Beacon Hill,X,300,Nov-2020,Pacific Tower,1200,12th Avenue S,Seattle,98144, 94.00 ,Barrientos + Ryan,6369
King,K-C,Central,X,50,Jan-2050,,701,16th Avenue,Seattle,98122, 87.00 ,Sabey Corp,6370
King,K-S,Rainier Valley,C,40,Jul-2019,,7118,Beacon Avenue S,Seattle,98108, 110.00 ,Isola Capital Management,6371
King,K-S,Rainier Valley,X,55,Jan-2050,,4221,37th Avenue S,Seattle,98118, 101.00 ,Jabooda Homes,6372
King,K-E,Bothell,U,25,Jul-2017,Spencer 68 Phase III,6641 NE,182nd Street,Kenmore,98028, 216.00 ,Main Street Property Group,6373
Pierce,Pie,Puyallup/Sumner,X,97,Mar-2018,,5605,112th Street E,Puyallup,98373, 712.06 ,Port Landing,6374
King,K-C,Queen Anne,X,80,Jan-2019,,417,2nd Avenue W,Seattle,98119, 71.00 ,,6375
Snohomish,Sno,Central Everett,X,140,Mar-2019,,1005,Broadway,Everett,98201, 401.00 ,Koz Development,6376
King,K-S,White Center,X,23,Jan-2018,,1055 SW,122nd Street,Burien,98146, 267.00 ,NW Development,6377
King,K-E,Bothell,X,185,May-2018,,18420,102nd Avenue NE,Bothell,98011, 218.04 ,Tarragon,6378
King,K-N,Greenlake/Wallingford,X,28,Jan-2050,,800 NE,64th Street,Seattle,98115, 36.00 ,Metrostructure Corp,6379
King,K-E,Woodinville/Totem Lake,X,100,Jan-2050,,12620,120th Avenue NE,Kirkland,98034, 219.03 ,Fairfield Residential,6381
King,K-S,Rainier Valley,X,220,Jan-2020,Othello Station,7301,Rainier Avenue S,Seattle,98118, 111.02 ,Barrientos + Ryan,6382
King,K-S,Beacon Hill,X,40,Dec-2019,,1200 S,Angelo Street,Seattle,98108, 109.00 ,Barrientos + Ryan,6383
Snohomish,Sno,Marysville/Monroe,X,200,Mar-2019,Lodge III,17500,25th Avenue NE,Marysville,98271, 531.01 ,Wakefield Properties,6384
Snohomish,Sno,Mountlake Terrace,X,350,Jan-2050,Andorra Estates III,22817,Lakeview Drive,Mountlake Terrace,98043, 510.00 ,Weidner Company,6386
King,K-E,Juanita,X,400,Jan-2020,Lifebridge site,11725 NE,118th Street,Kirkland,98034, 220.05 ,Wolff Company,6387
King,K-SE,Des Moines,S,274,Jun-2018,Highline Place,23609,Pacific Hwy S,Des Moines,98198, 290.03 ,,6388
Snohomish,Sno,Edmonds,X,70,Oct-2018,Gateway Court,8029,238th Street SW,Edmonds,98026, 509.00 ,,6389
King,K-N,North Seattle,X,30,Jan-2050,,8559,Mary Avenue NW,Seattle,98117, 16.00 ,Noren Development,6391
King,K-C,Capitol Hill/Eastlake,C,27,Jan-2050,,2236,Franklin Avenue E,Seattle,98102, 66.00 ,gProjects LLC,6392
Pierce,Pie,Downtown Tacoma,X,160,Oct-2019,HQC,1210,Tacoma Avenue S,Tacoma,98402, 614.00 ,HQC USA,6393
King,K-N,University,X,56,May-2019,,5639,University Way NE,Seattle,98105, 44.00 ,,6394
King,K-N,University,X,45,May-2019,,4244,11th Avenue NE,Seattle,98105, 53.01 ,,6395
King,K-N,University,X,300,Feb-2021,,4810,24th Avenue NE,Seattle,98105, 43.00 ,Trinity Partnership,6396
King,K-C,Capitol Hill/Eastlake,S,110,Jan-2050,,923 E,John Street,Seattle,98102, 75.00 ,Capitol Hill Housing,6397
King,K-E,Kirkland,X,111,Mar-2020,,330,4th Street,Kirkland,98033, 224.00 ,Natural & Built Environments,6398
King,K-S,West Seattle,X,62,Oct-2019,Junction Landing,4417,42nd Avenue SW,Seattle,98116, 98.00 ,BCK Investments,6399
Pierce,Pie,Mid Tacoma,S,74,Apr-2017,Bay Terrace Ph 2,2510 S,G Street,Tacoma,98405, 617.00 ,Tacoma Housing Authority,6400
King,K-C,Capitol Hill/Eastlake,X,22,Dec-2050,,223,12th Avenue E,Seattle,98102, 75.00 ,Elliott Severson,6401
Snohomish,Sno,Central Everett,S,40,Feb-2019,Cocoon House: 100,3530,Colby Avenue,Everett,98201, 410.00 ,,6402
Snohomish,Sno,Central Everett,S,76,Jan-2050,Hopeworks Everett Station Ph 2,3319,Broadway,Everett,98201, 407.00 ,,6403
King,K-C,Central,X,28,Jan-2050,,109,21st Avenue S,Seattle,98144, 90.00 ,,6404
King,K-C,Capitol Hill/Eastlake,X,36,Jun-2019,,510,10th Avenue E,Seattle,98102, 75.00 ,,6405
King,K-N,Greenlake/Wallingford,X,31,Aug-2019,,3959,Fremont Avenue N,Seattle,98103, 49.00 ,,6406
King,K-C,Central,T,249,Jan-2050,,913 S,Jackson Street,Seattle,98104, 91.00 ,Inland Group,6407
King,K-SE,Auburn,T,206,Jan-2050,,31815,Military Road S,Auburn,98001, 299.01 ,Magnum Construction,6408
Snohomish,Sno,Marysville/Monroe,X,72,Oct-2018,Park 77 - Phase 2,20201,77th Avenue NE,Arlington,98223, 535.04 ,Williams Investments,6409
King,K-SE,Renton,X,200,Jul-2018,Monarch,24000,Maple Valley Black Diamond Road SE,Maple Valley,98038, 320.09 ,Landmark Development,6410
King,K-E,Issaquah,X,135,Jun-2020,,1401,10th Avenue NE,Issaquah,98029, 322.10 ,Trammel Crow Residential,6411
King,K-N,Greenlake/Wallingford,M,178,Oct-2017,,829 NE,67th Street,Seattle,98115, 36.00 ,Barcelo Homes,6503
King,K-S,Beacon Hill,M,24,Jun-2017,15th Avenue S Townhomes,1340,15th Avenue S,Seattle,98144, 94.00 ,Mark Travers Architect,6504
King,K-C,Capitol Hill/Eastlake,M,75,Jul-2017,Twenty First,111,21st Avenue E,Seattle,98112, 76.00 ,Johnson & Carr,6524
King,K-S,West Seattle,U,389,Jul-2017,Whittaker,4755,Fauntleroy Way SW,Seattle,98116, 105.00 ,Lennar Multifamily,9099
King,K-C,Capitol Hill/Eastlake,C,40,Jan-2050,,2719,Yale Terrace E,Seattle,98102, 61.00 ,Build Urban,44577
King,K-S,Rainier Valley,U,43,Jan-2018,Link Flats at Mt Baker,3320,Martin Luther King Jr Way S,Seattle,98144, 95.00 ,Columbia Modern Urban,44589
Snohomish,Sno,Lynnwood,X,400,Jan-2050,,18600,Highway 99,Lynnwood,98037, 516.02 ,PDSK Properties,6412
King,K-C,Belltown/Dwntn/S Lk Union,U,477,Jun-2017,Cascade,221,Minor Avenue N,Seattle,98109, 73.00 ,Equity Residential,9110
King,K-E,Bellevue-West,S,63,Jan-2050,,3030,Bellevue Way NE,Bellevue,98004, 240.00 ,,6413
King,K-S,Rainier Valley,X,33,Oct-2018,,2807 S,Hanford Street,Seattle,98144, 95.00 ,Signature Custome Homes,6414
King,K-SE,Des Moines,X,265,Jan-2050,Kent Midway,24050,Pacific Highway S,Kent,98032, 290.04 ,,6415
King,K-S,West Seattle,X,45,Mar-2019,,5242,California Avenue SW,Seattle,98136, 105.00 ,Hybrid Architecture,1591
