lat ,long
47.71973,-122.359261
47.725966,-122.28888
47.685304,-122.391877
47.692699,-122.334199
47.691775,-122.277894
47.659411,-122.353425
47.658949,-122.298493
47.652011,-122.412305
47.627028,-122.354626
47.61592,-122.318921
47.634431,-122.284589
47.587214,-122.292828
47.588141,-122.33128
47.586288,-122.387585
47.545517,-122.379346
47.552005,-122.325787
47.552005,-122.272229
47.52141,-122.268109
47.513063,-122.314801
47.513063,-122.386212
47.489869,-122.299695
